Correlation,Centrality,Ground Truth
0.3712529238162663,degree_centrality,importance
0.3529913651846432,degree_centrality,doctypebranch
0.44626030207225503,in_degree_centrality,importance
0.5653148314957973,in_degree_centrality,doctypebranch
0.17496226471272275,out_degree_centrality,importance
0.14733493225924432,out_degree_centrality,doctypebranch
0.4148153967243678,betweenness_centrality,importance
0.49262631541504753,betweenness_centrality,doctypebranch
0.44853578061192856,closeness_centrality,importance
0.5709415671455366,closeness_centrality,doctypebranch
0.3450329840330848,core_number,importance
0.32828109306750664,core_number,doctypebranch
0.44626030207225503,relative_in_degree_centrality,importance
0.5653148314957973,relative_in_degree_centrality,doctypebranch
0.4474788071245327,eigenvector_centrality,importance
0.5711987712694452,eigenvector_centrality,doctypebranch
0.45093346930063793,pagerank,importance
0.5642582468513494,pagerank,doctypebranch
0.11211590832994962,hits_hub,importance
0.08546443976483156,hits_hub,doctypebranch
0.40457461458604155,hits_authority,importance
0.5165003748227116,hits_authority,doctypebranch
0.44914189034546714,harmonic_centrality,importance
0.5712710128541902,harmonic_centrality,doctypebranch
0.30105828671468865,disruption,importance
0.5134303823163483,disruption,doctypebranch
0.45461010163329485,composite_ranking_importance_weight_composite_ranking,importance
0.5688309292835497,composite_ranking_importance_weight_composite_ranking,doctypebranch
0.4510615304355301,composite_ranking_importance_threshold_composite_ranking,importance
0.563883670607647,composite_ranking_importance_threshold_composite_ranking,doctypebranch
0.3679861448036504,composite_ranking_doctypebranch_weight_composite_ranking,importance
0.34913499992839764,composite_ranking_doctypebranch_weight_composite_ranking,doctypebranch
0.3708761603665456,composite_ranking_doctypebranch_threshold_composite_ranking,importance
0.35267219802269034,composite_ranking_doctypebranch_threshold_composite_ranking,doctypebranch
