Correlation,Centrality,Ground Truth
0.4714338918649699,degree_centrality,importance
0.17403512066926022,degree_centrality,doctypebranch
0.45737107474303795,in_degree_centrality,importance
0.32932562628803463,in_degree_centrality,doctypebranch
0.3355827444126722,out_degree_centrality,importance
0.05867055281799454,out_degree_centrality,doctypebranch
0.4398028634370435,betweenness_centrality,importance
0.2834420337126492,betweenness_centrality,doctypebranch
0.4602704716837504,closeness_centrality,importance
0.33095516861265634,closeness_centrality,doctypebranch
0.462270868564174,core_number,importance
0.15901843939713606,core_number,doctypebranch
0.45737107474303795,relative_in_degree_centrality,importance
0.32932562628803463,relative_in_degree_centrality,doctypebranch
0.45178023992215927,eigenvector_centrality,importance
0.331079730523468,eigenvector_centrality,doctypebranch
0.44698190344535615,pagerank,importance
0.32737148187439385,pagerank,doctypebranch
0.32369453569513695,hits_hub,importance
0.1268555378708305,hits_hub,doctypebranch
0.39740041965986844,hits_authority,importance
0.2842609544676629,hits_authority,doctypebranch
0.46053858360057004,harmonic_centrality,importance
0.33123340100519627,harmonic_centrality,doctypebranch
0.3508711700264433,disruption,importance
0.28870368915963873,disruption,doctypebranch
0.47088927739269276,composite_ranking_importance_weight_composite_ranking,importance
0.17195078309818473,composite_ranking_importance_weight_composite_ranking,doctypebranch
0.47218992048288594,composite_ranking_importance_threshold_composite_ranking,importance
0.1736326929742022,composite_ranking_importance_threshold_composite_ranking,doctypebranch
0.45737107474303795,composite_ranking_doctypebranch_weight_composite_ranking,importance
0.32932562628803463,composite_ranking_doctypebranch_weight_composite_ranking,doctypebranch
0.45737107474303795,composite_ranking_doctypebranch_threshold_composite_ranking,importance
0.32932562628803463,composite_ranking_doctypebranch_threshold_composite_ranking,doctypebranch
