Centrality,full-balanced-doctypebranch,full-balanced-importance,full-unbalanced
betweenness_centrality,Doctypebranch: -0.5772 | Importance: -0.6000,Doctypebranch: -0.3602 | Importance: -0.3708,Doctypebranch: -0.3637 | Importance: -0.4434
closeness_centrality,Doctypebranch: -0.6801 | Importance: -0.6592,Doctypebranch: -0.4191 | Importance: -0.4870,Doctypebranch: -0.4467 | Importance: -0.4432
core_number,Doctypebranch: -0.6137 | Importance: -0.6952,Doctypebranch: -0.3734 | Importance: -0.4507,Doctypebranch: -0.2053 | Importance: -0.4781
degree_centrality,Doctypebranch: -0.6272 | Importance: -0.7011,Doctypebranch: -0.3922 | Importance: -0.4682,Doctypebranch: -0.2228 | Importance: -0.4869
disruption,Doctypebranch: 0.3743 | Importance: 0.3999,Doctypebranch: 0.2145 | Importance: 0.2153,Doctypebranch: 0.1609 | Importance: 0.2660
eigenvector_centrality,Doctypebranch: -0.6812 | Importance: -0.6611,Doctypebranch: -0.4215 | Importance: -0.4899,Doctypebranch: -0.4464 | Importance: -0.4430
harmonic_centrality,Doctypebranch: -0.6849 | Importance: -0.6655,Doctypebranch: -0.4262 | Importance: -0.4940,Doctypebranch: -0.4480 | Importance: -0.4477
hits_authority,Doctypebranch: -0.6660 | Importance: -0.6505,Doctypebranch: -0.4393 | Importance: -0.4712,Doctypebranch: -0.4163 | Importance: -0.4156
hits_hub,Doctypebranch: -0.2142 | Importance: -0.2805,Doctypebranch: -0.0986 | Importance: -0.1089,Doctypebranch: -0.0122 | Importance: -0.1952
in_degree_centrality,Doctypebranch: -0.6999 | Importance: -0.6921,Doctypebranch: -0.4529 | Importance: -0.5042,Doctypebranch: -0.4462 | Importance: -0.4680
out_degree_centrality,Doctypebranch: -0.3321 | Importance: -0.4339,Doctypebranch: -0.1890 | Importance: -0.2163,Doctypebranch: -0.0628 | Importance: -0.3495
pagerank,Doctypebranch: -0.6984 | Importance: -0.6833,Doctypebranch: -0.4398 | Importance: -0.5161,Doctypebranch: -0.4411 | Importance: -0.4551
relative_in_degree_centrality,Doctypebranch: -0.6999 | Importance: -0.6921,Doctypebranch: -0.4529 | Importance: -0.5042,Doctypebranch: -0.4462 | Importance: -0.4680
