Correlation,Centrality,Ground Truth
0.025577173339521746,degree_centrality,importance
0.00603222948298003,degree_centrality,doctypebranch
0.09952329686910616,in_degree_centrality,importance
0.09041065958738259,in_degree_centrality,doctypebranch
-0.06358432855526226,out_degree_centrality,importance
-0.08193466025106547,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.09952329686910616,closeness_centrality,importance
0.09041065958738259,closeness_centrality,doctypebranch
0.025577173339521746,core_number,importance
0.00603222948298003,core_number,doctypebranch
0.09952329686910616,relative_in_degree_centrality,importance
0.09041065958738259,relative_in_degree_centrality,doctypebranch
0.09952329686910616,eigenvector_centrality,importance
0.09041065958738259,eigenvector_centrality,doctypebranch
0.09952329686910616,pagerank,importance
0.09041065958738259,pagerank,doctypebranch
-0.06358432855526226,hits_hub,importance
-0.08193466025106547,hits_hub,doctypebranch
0.08105547662771762,hits_authority,importance
0.11094061505719661,hits_authority,doctypebranch
0.09952329686910616,harmonic_centrality,importance
0.09041065958738259,harmonic_centrality,doctypebranch
0.09952329686910616,disruption,importance
0.09041065958738259,disruption,doctypebranch
0.09952329686910616,composite,importance
0.09041065958738259,composite,doctypebranch
