Correlation,Centrality,Ground Truth
0.31566852220520325,degree_centrality,importance
0.3218440938199994,degree_centrality,doctypebranch
0.3954129789098665,in_degree_centrality,importance
0.3723724938744619,in_degree_centrality,doctypebranch
0.006215154331493012,out_degree_centrality,importance
0.043698191150216184,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.3954129789098665,closeness_centrality,importance
0.3723724938744619,closeness_centrality,doctypebranch
0.31673187956709925,core_number,importance
0.3247329671097601,core_number,doctypebranch
0.3954129789098665,relative_in_degree_centrality,importance
0.3723724938744619,relative_in_degree_centrality,doctypebranch
0.3954129789098665,eigenvector_centrality,importance
0.3723724938744619,eigenvector_centrality,doctypebranch
0.39472467436356895,pagerank,importance
0.3722845241197818,pagerank,doctypebranch
0.0045405775205353575,hits_hub,importance
0.043326810209653614,hits_hub,doctypebranch
0.22604451972533646,hits_authority,importance
0.2455212529476134,hits_authority,doctypebranch
0.3954129789098665,harmonic_centrality,importance
0.3723724938744619,harmonic_centrality,doctypebranch
0.39414418552259095,disruption,importance
0.3727482236784461,disruption,doctypebranch
0.3954129789098665,composite,importance
0.3723724938744619,composite,doctypebranch
