Correlation,Centrality,Ground Truth
0.06255821949938616,degree_centrality,importance
0.2278899896062684,degree_centrality,doctypebranch
0.327689336443365,in_degree_centrality,importance
0.38471228954525816,in_degree_centrality,doctypebranch
-0.29116042615788607,out_degree_centrality,importance
-0.13273883047446283,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.327689336443365,closeness_centrality,importance
0.38471228954525816,closeness_centrality,doctypebranch
0.0887928303836238,core_number,importance
0.22500494871522583,core_number,doctypebranch
0.327689336443365,relative_in_degree_centrality,importance
0.38471228954525816,relative_in_degree_centrality,doctypebranch
0.327689336443365,eigenvector_centrality,importance
0.38471228954525816,eigenvector_centrality,doctypebranch
0.3281418025537538,pagerank,importance
0.3703673690656756,pagerank,doctypebranch
-0.2669842090239197,hits_hub,importance
-0.09954644565337913,hits_hub,doctypebranch
0.3179428390530338,hits_authority,importance
0.2891864134698458,hits_authority,doctypebranch
0.327689336443365,harmonic_centrality,importance
0.38471228954525816,harmonic_centrality,doctypebranch
0.32479725202847104,disruption,importance
0.36540084388185656,disruption,doctypebranch
0.327689336443365,composite,importance
0.38471228954525816,composite,doctypebranch
