Correlation,Centrality,Ground Truth
0.16091670316431606,degree_centrality,importance
0.1826593600856559,degree_centrality,doctypebranch
0.21748621096264384,in_degree_centrality,importance
0.28500118601067315,in_degree_centrality,doctypebranch
0.01883336116345297,out_degree_centrality,importance
-0.009043880372013766,out_degree_centrality,doctypebranch
0.08360171835451684,betweenness_centrality,importance
0.15215092876265876,betweenness_centrality,doctypebranch
0.21776588237215275,closeness_centrality,importance
0.28532633110524114,closeness_centrality,doctypebranch
0.16350835777846354,core_number,importance
0.1750695438900736,core_number,doctypebranch
0.21748621096264384,relative_in_degree_centrality,importance
0.28500118601067315,relative_in_degree_centrality,doctypebranch
0.21776588237215275,eigenvector_centrality,importance
0.28532633110524114,eigenvector_centrality,doctypebranch
0.21956577747496578,pagerank,importance
0.284959720116654,pagerank,doctypebranch
0.10624047582799967,hits_hub,importance
0.05668030547427688,hits_hub,doctypebranch
0.056448108050330896,hits_authority,importance
0.14613705702817156,hits_authority,doctypebranch
0.21776588237215275,harmonic_centrality,importance
0.28532633110524114,harmonic_centrality,doctypebranch
0.2189950869076336,disruption,importance
0.2797412812972088,disruption,doctypebranch
0.21912103433368427,composite,importance
0.28362043586055075,composite,doctypebranch
