Correlation,Centrality,Ground Truth
0.3145969785931377,degree_centrality,importance
0.22675800945581842,degree_centrality,doctypebranch
0.41245726731619975,in_degree_centrality,importance
0.2645453864825146,in_degree_centrality,doctypebranch
0.010916229836004298,out_degree_centrality,importance
0.12243871519282286,out_degree_centrality,doctypebranch
0.16164774144227403,betweenness_centrality,importance
0.3245024502456643,betweenness_centrality,doctypebranch
0.4123717370952866,closeness_centrality,importance
0.264490528374438,closeness_centrality,doctypebranch
0.29272933150753083,core_number,importance
0.20734260554056763,core_number,doctypebranch
0.41245726731619975,relative_in_degree_centrality,importance
0.2645453864825146,relative_in_degree_centrality,doctypebranch
0.4149597950105306,eigenvector_centrality,importance
0.27179241412710653,eigenvector_centrality,doctypebranch
0.4062330335357712,pagerank,importance
0.26602460400464933,pagerank,doctypebranch
-0.003673724957500575,hits_hub,importance
0.1045133589674691,hits_hub,doctypebranch
0.3943635489433552,hits_authority,importance
0.3188934763284917,hits_authority,doctypebranch
0.41367801973023854,harmonic_centrality,importance
0.26632388867022233,harmonic_centrality,doctypebranch
0.4303927422441187,disruption,importance
0.2524609109088088,disruption,doctypebranch
0.3923748758744479,composite,importance
0.33015987466059055,composite,doctypebranch
