Correlation,Centrality,Ground Truth
0.2115009043610583,degree_centrality,importance
0.22853718408717585,degree_centrality,doctypebranch
0.3547379371396536,in_degree_centrality,importance
0.32602971918602974,in_degree_centrality,doctypebranch
-0.11838531947784006,out_degree_centrality,importance
-0.04727212602138836,out_degree_centrality,doctypebranch
-0.038646436560097405,betweenness_centrality,importance
-0.020544885755029912,betweenness_centrality,doctypebranch
0.35382462019604766,closeness_centrality,importance
0.325018582056575,closeness_centrality,doctypebranch
0.21580005263811686,core_number,importance
0.22868870057431656,core_number,doctypebranch
0.3547379371396536,relative_in_degree_centrality,importance
0.32602971918602974,relative_in_degree_centrality,doctypebranch
0.35286716641465854,eigenvector_centrality,importance
0.3224563035840686,eigenvector_centrality,doctypebranch
0.35275212604337236,pagerank,importance
0.3233854228539221,pagerank,doctypebranch
-0.10640938928134774,hits_hub,importance
-0.043649920426252244,hits_hub,doctypebranch
0.17738984378150835,hits_authority,importance
0.20134669018181806,hits_authority,doctypebranch
0.3538580061494771,harmonic_centrality,importance
0.3249131321167004,harmonic_centrality,doctypebranch
0.39573987889867585,disruption,importance
0.3296737039961596,disruption,doctypebranch
0.3920366536068175,composite,importance
0.3342884223051573,composite,doctypebranch
