Correlation,Centrality,Ground Truth
0.31964647129021995,degree_centrality,importance
0.3261368899084831,degree_centrality,doctypebranch
0.4616068535635089,in_degree_centrality,importance
0.3910540552578869,in_degree_centrality,doctypebranch
-0.08677519440588821,out_degree_centrality,importance
0.007989351963924083,out_degree_centrality,doctypebranch
0.023081855031666182,betweenness_centrality,importance
0.034956138917650634,betweenness_centrality,doctypebranch
0.46019681757616365,closeness_centrality,importance
0.38488138726815235,closeness_centrality,doctypebranch
0.32495922714472947,core_number,importance
0.33030374895954345,core_number,doctypebranch
0.4616068535635089,relative_in_degree_centrality,importance
0.3910540552578869,relative_in_degree_centrality,doctypebranch
0.45241429494459584,eigenvector_centrality,importance
0.3692193519114422,eigenvector_centrality,doctypebranch
0.455377131588273,pagerank,importance
0.3787568089432208,pagerank,doctypebranch
-0.10941548472349809,hits_hub,importance
-0.0029015151267838984,hits_hub,doctypebranch
0.35162921880615117,hits_authority,importance
0.29917542721652335,hits_authority,doctypebranch
0.45964471159560866,harmonic_centrality,importance
0.3833799872041162,harmonic_centrality,doctypebranch
0.43962923714042856,disruption,importance
0.3553782927449455,disruption,doctypebranch
0.4616068535635089,composite,importance
0.3910540552578869,composite,doctypebranch
