Correlation,Centrality,Ground Truth
0.06196794593085383,degree_centrality,importance
0.1886218743625702,degree_centrality,doctypebranch
0.33432163106764795,in_degree_centrality,importance
0.29479910868086484,in_degree_centrality,doctypebranch
-0.3173303586150875,out_degree_centrality,importance
-0.11264117796550306,out_degree_centrality,doctypebranch
-0.12540437943947008,betweenness_centrality,importance
-0.039800456888697384,betweenness_centrality,doctypebranch
0.3258781945972925,closeness_centrality,importance
0.2881029958756501,closeness_centrality,doctypebranch
0.007497564144625209,core_number,importance
0.17111999379216686,core_number,doctypebranch
0.33432163106764795,relative_in_degree_centrality,importance
0.29479910868086484,relative_in_degree_centrality,doctypebranch
0.30446553867756215,eigenvector_centrality,importance
0.25594572932456966,eigenvector_centrality,doctypebranch
0.3289748741147575,pagerank,importance
0.2900688169206452,pagerank,doctypebranch
-0.35484658100192307,hits_hub,importance
-0.11194705981449313,hits_hub,doctypebranch
0.271671650255464,hits_authority,importance
0.25216414327312875,hits_authority,doctypebranch
0.32486198333074534,harmonic_centrality,importance
0.2855627964357194,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
-0.35484658100192307,composite,importance
-0.11194705981449313,composite,doctypebranch
