Correlation,Centrality,Ground Truth
0.33550348596675533,degree_centrality,importance
0.3896055439814194,degree_centrality,doctypebranch
0.35838946280561146,in_degree_centrality,importance
0.3645911098003105,in_degree_centrality,doctypebranch
0.09076593503909772,out_degree_centrality,importance
0.16587710580372092,out_degree_centrality,doctypebranch
0.10413487197395443,betweenness_centrality,importance
0.11885192429053673,betweenness_centrality,doctypebranch
0.35306542784237654,closeness_centrality,importance
0.36159235413089535,closeness_centrality,doctypebranch
0.31653292180210113,core_number,importance
0.3864305523120339,core_number,doctypebranch
0.35838946280561146,relative_in_degree_centrality,importance
0.3645911098003105,relative_in_degree_centrality,doctypebranch
0.3452383925889732,eigenvector_centrality,importance
0.35376346549025045,eigenvector_centrality,doctypebranch
0.35612452847606,pagerank,importance
0.36224346184638806,pagerank,doctypebranch
0.06919776909211829,hits_hub,importance
0.1633073611610836,hits_hub,doctypebranch
0.2817049695875017,hits_authority,importance
0.30147982450030036,hits_authority,doctypebranch
0.35242816798031723,harmonic_centrality,importance
0.361066354931764,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.33550348596675533,composite,importance
0.3896055439814194,composite,doctypebranch
