Correlation,Centrality,Ground Truth
0.14964274293019014,degree_centrality,importance
0.014587063821397414,degree_centrality,doctypebranch
0.26333530853993986,in_degree_centrality,importance
0.048128730121132175,in_degree_centrality,doctypebranch
-0.13767800770539773,out_degree_centrality,importance
-0.04759640196768894,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.26333530853993986,closeness_centrality,importance
0.048128730121132175,closeness_centrality,doctypebranch
0.1675575102647106,core_number,importance
0.019270427664648725,core_number,doctypebranch
0.26333530853993986,relative_in_degree_centrality,importance
0.048128730121132175,relative_in_degree_centrality,doctypebranch
0.26333530853993986,eigenvector_centrality,importance
0.048128730121132175,eigenvector_centrality,doctypebranch
0.25819278223627184,pagerank,importance
0.04289439036682052,pagerank,doctypebranch
-0.13767800770539773,hits_hub,importance
-0.04759640196768894,hits_hub,doctypebranch
-0.07058612947068162,hits_authority,importance
-0.11264088620084657,hits_authority,doctypebranch
0.26333530853993986,harmonic_centrality,importance
0.048128730121132175,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
-0.07058612947068162,composite,importance
-0.11264088620084657,composite,doctypebranch
