Correlation,Centrality,Ground Truth
0.30343219249047765,degree_centrality,importance
0.3585118642755019,degree_centrality,doctypebranch
0.3778392534823827,in_degree_centrality,importance
0.25960530053327047,in_degree_centrality,doctypebranch
0.09331156546345343,out_degree_centrality,importance
0.25179608354596544,out_degree_centrality,doctypebranch
0.1740528588609243,betweenness_centrality,importance
0.12265841631311128,betweenness_centrality,doctypebranch
0.37628088648614916,closeness_centrality,importance
0.2584799007419816,closeness_centrality,doctypebranch
0.2988755550068691,core_number,importance
0.35837949524779855,core_number,doctypebranch
0.3778392534823827,relative_in_degree_centrality,importance
0.25960530053327047,relative_in_degree_centrality,doctypebranch
0.3737788137403333,eigenvector_centrality,importance
0.25670107055045066,eigenvector_centrality,doctypebranch
0.37601049442444423,pagerank,importance
0.26054047748900416,pagerank,doctypebranch
0.04115133666739297,hits_hub,importance
0.24879115387268674,hits_hub,doctypebranch
0.2286353059983337,hits_authority,importance
0.1664939743089481,hits_authority,doctypebranch
0.37613248199694255,harmonic_centrality,importance
0.2583986474549035,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.3778392534823827,composite,importance
0.25960530053327047,composite,doctypebranch
