Correlation,Centrality,Ground Truth
0.42961836203055154,degree_centrality,importance
0.3636906037214593,degree_centrality,doctypebranch
0.43523681403105435,in_degree_centrality,importance
0.3080829369139264,in_degree_centrality,doctypebranch
0.19867476382376562,out_degree_centrality,importance
0.20978177785324717,out_degree_centrality,doctypebranch
0.22872460881215598,betweenness_centrality,importance
0.13122082044965638,betweenness_centrality,doctypebranch
0.4294037647982755,closeness_centrality,importance
0.3055032452758664,closeness_centrality,doctypebranch
0.4271135359906451,core_number,importance
0.3632877457650323,core_number,doctypebranch
0.43523681403105435,relative_in_degree_centrality,importance
0.3080829369139264,relative_in_degree_centrality,doctypebranch
0.4262465822758994,eigenvector_centrality,importance
0.30358552123915367,eigenvector_centrality,doctypebranch
0.43436623415709047,pagerank,importance
0.3092189059824146,pagerank,doctypebranch
0.1569493603134027,hits_hub,importance
0.2037972807543896,hits_hub,doctypebranch
0.29423903980547494,hits_authority,importance
0.21457593031912772,hits_authority,doctypebranch
0.4294623583584322,harmonic_centrality,importance
0.30554906858693875,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.42961836203055154,composite,importance
0.3636906037214593,composite,doctypebranch
