ecli,references
ECLI:CE:ECHR:1995:0713JUD001783191,['ECLI:CE:ECHR:1995:0713JUD001783191']
ECLI:CE:ECHR:2000:0615DEC004043398,['ECLI:CE:ECHR:2011:0113JUD000517909']
ECLI:CE:ECHR:2003:1023JUD004610699,['']
ECLI:CE:ECHR:2007:0913DEC001563806,['ECLI:CE:ECHR:2013:1024JUD004584709']
ECLI:CE:ECHR:2007:1206JUD001933105,"['ECLI:CE:ECHR:2012:0207JUD004066008', 'ECLI:CE:ECHR:2013:0919JUD000877210']"
ECLI:CE:ECHR:2009:0616JUD007243901,['']
ECLI:CE:ECHR:2010:0720JUD000490006,['ECLI:CE:ECHR:2010:0727JUD005021308']
ECLI:CE:ECHR:2010:0720JUD000506506,['ECLI:CE:ECHR:2011:0607JUD002765105']
ECLI:CE:ECHR:2010:0722JUD004937507,['']
ECLI:CE:ECHR:2010:0727JUD002073905,['']
ECLI:CE:ECHR:2010:0727JUD002822108,"['ECLI:CE:ECHR:2012:0522JUD000012605', 'ECLI:CE:ECHR:2012:0717JUD006505009', 'ECLI:CE:ECHR:2011:0210JUD002485707', 'ECLI:CE:ECHR:2011:0118JUD000012605']"
ECLI:CE:ECHR:2010:0729JUD000854906,"['', 'ECLI:CE:ECHR:2012:0410JUD007365910', 'ECLI:CE:ECHR:2011:1103JUD000939005', 'ECLI:CE:ECHR:2011:0920JUD001490204']"
ECLI:CE:ECHR:2010:0729JUD003607906,"['ECLI:CE:ECHR:2010:0902JUD001211104', '']"
ECLI:CE:ECHR:2010:0902JUD001211104,['']
ECLI:CE:ECHR:2010:0902JUD001718502,"['', 'ECLI:CE:ECHR:2011:1122JUD002316409', 'ECLI:CE:ECHR:2013:0716JUD000154407', 'ECLI:CE:ECHR:2011:1220JUD000708907', 'ECLI:CE:ECHR:2011:0301JUD002733504']"
ECLI:CE:ECHR:2010:0902JUD002155803,"['', 'ECLI:CE:ECHR:2012:0605JUD005172899']"
ECLI:CE:ECHR:2010:0902JUD003562305,['ECLI:CE:ECHR:2010:1014JUD002427103']
ECLI:CE:ECHR:2010:0902JUD004634406,['ECLI:CE:ECHR:2011:0922JUD001701908']
ECLI:CE:ECHR:2010:0909JUD000103307,"['', 'ECLI:CE:ECHR:2010:0902JUD003629502', 'ECLI:CE:ECHR:2013:1031JUD001146905']"
ECLI:CE:ECHR:2010:0910JUD003133306,['']
ECLI:CE:ECHR:2010:0914JUD000699108,['ECLI:CE:ECHR:2010:0914JUD000699108']
ECLI:CE:ECHR:2010:0914JUD002934206,"['ECLI:CE:ECHR:2013:1015JUD002227904', 'ECLI:CE:ECHR:2010:1221JUD001835303', 'ECLI:CE:ECHR:2012:1009JUD001683107']"
ECLI:CE:ECHR:2010:0914JUD003718603,['ECLI:CE:ECHR:2010:1216JUD001424805']
ECLI:CE:ECHR:2010:0916JUD003987403,['']
ECLI:CE:ECHR:2010:0916JUD007547201,"['', 'ECLI:CE:ECHR:2012:0117JUD000914607']"
ECLI:CE:ECHR:2010:0921JUD001793107,"['ECLI:CE:ECHR:2012:0117JUD000914607', 'ECLI:CE:ECHR:2013:0129JUD006036710', 'ECLI:CE:ECHR:2013:1022JUD001157706', 'ECLI:CE:ECHR:2011:0531JUD003534806', 'ECLI:CE:ECHR:2011:1220JUD004883909']"
ECLI:CE:ECHR:2010:0921JUD003414706,"['', 'ECLI:CE:ECHR:2012:0207JUD004066008', 'ECLI:CE:ECHR:2013:0919JUD000877210']"
ECLI:CE:ECHR:2010:0923JUD000162003,['ECLI:CE:ECHR:2010:0923JUD000042503']
ECLI:CE:ECHR:2010:0923JUD001718505,"['ECLI:CE:ECHR:2010:0921JUD002293202', 'ECLI:CE:ECHR:2010:1104JUD004250206']"
ECLI:CE:ECHR:2010:0928DEC003835406,['ECLI:CE:ECHR:2011:0922JUD002834809']
ECLI:CE:ECHR:2010:0928JUD001205004,['ECLI:CE:ECHR:2012:1002JUD000512605']
ECLI:CE:ECHR:2010:0928JUD003706006,['ECLI:CE:ECHR:2010:0722JUD001898402']
ECLI:CE:ECHR:2010:0928JUD004015607,"['', 'ECLI:CE:ECHR:2011:1220JUD000622210', 'ECLI:CE:ECHR:2010:1014JUD002427103', 'ECLI:CE:ECHR:2011:0913JUD003573007', 'ECLI:CE:ECHR:2011:1220JUD005299908']"
ECLI:CE:ECHR:2010:0928JUD004258306,['ECLI:CE:ECHR:2010:0928JUD004258306']
ECLI:CE:ECHR:2010:0930JUD003777003,['']
ECLI:CE:ECHR:2010:0930JUD004491708,"['ECLI:CE:ECHR:2010:1028JUD002328404', 'ECLI:CE:ECHR:2012:0724JUD001480708']"
ECLI:CE:ECHR:2010:1005DEC000042007,"['ECLI:CE:ECHR:2012:0207JUD004066008', 'ECLI:CE:ECHR:2013:0919JUD000877210']"
ECLI:CE:ECHR:2010:1007JUD001277303,['ECLI:CE:ECHR:2012:0626JUD003465304']
ECLI:CE:ECHR:2010:1007JUD003007806,['ECLI:CE:ECHR:2011:0315JUD001081005']
ECLI:CE:ECHR:2010:1007JUD006918001,['ECLI:CE:ECHR:2013:0611JUD006235309']
ECLI:CE:ECHR:2010:1012JUD002050205,['']
ECLI:CE:ECHR:2010:1012JUD002439703,"['', 'ECLI:CE:ECHR:2013:0402JUD002188003']"
ECLI:CE:ECHR:2010:1012JUD003076705,['ECLI:CE:ECHR:2013:0611JUD006235309']
ECLI:CE:ECHR:2010:1012JUD004228405,['ECLI:CE:ECHR:2010:1012JUD004228405']
ECLI:CE:ECHR:2010:1014JUD000143906,"['', 'ECLI:CE:ECHR:2010:1028JUD002328404', 'ECLI:CE:ECHR:2013:0425JUD007138610', 'ECLI:CE:ECHR:2010:0921JUD002293202', 'ECLI:CE:ECHR:2013:1003JUD003189011']"
ECLI:CE:ECHR:2010:1014JUD000146607,"['ECLI:CE:ECHR:2013:1001JUD000790605', 'ECLI:CE:ECHR:2010:1014JUD002427103']"
ECLI:CE:ECHR:2010:1014JUD003150807,"['ECLI:CE:ECHR:2010:1104JUD004097507', 'ECLI:CE:ECHR:2011:0414JUD003507906']"
ECLI:CE:ECHR:2010:1014JUD005516408,['']
ECLI:CE:ECHR:2010:1019JUD007157201,"['', 'ECLI:CE:ECHR:2012:0717JUD006505009', 'ECLI:CE:ECHR:2011:0118JUD000012605', 'ECLI:CE:ECHR:2012:0522JUD000012605']"
ECLI:CE:ECHR:2010:1021JUD000491607,['ECLI:CE:ECHR:2011:1201JUD000808008']
ECLI:CE:ECHR:2010:1021JUD001744404,['']
ECLI:CE:ECHR:2010:1021JUD002540409,"['ECLI:CE:ECHR:2012:0117JUD002336906', '', 'ECLI:CE:ECHR:2010:0727JUD005021308', 'ECLI:CE:ECHR:2010:1104JUD004250206']"
ECLI:CE:ECHR:2010:1021JUD003155505,"['ECLI:CE:ECHR:2011:0614JUD001690303', 'ECLI:CE:ECHR:2010:1007JUD004900006']"
ECLI:CE:ECHR:2010:1021JUD003811204,['']
ECLI:CE:ECHR:2010:1021JUD004337402,"['ECLI:CE:ECHR:2010:1028JUD002328404', 'ECLI:CE:ECHR:2012:0724JUD001480708', 'ECLI:CE:ECHR:2012:0112JUD004292109']"
