ecli,references
ECLI:CE:ECHR:1978:0628JUD000623273,['ECLI:CE:ECHR:1980:0310JUD000623273']
ECLI:CE:ECHR:1979:0426JUD000653874,['ECLI:CE:ECHR:1980:1106JUD000653874']
ECLI:CE:ECHR:1981:1105JUD000721575,['ECLI:CE:ECHR:1982:1018JUD000721575']
ECLI:CE:ECHR:1982:1001JUD000869279,['ECLI:CE:ECHR:1984:1026JUD000869279']
ECLI:CE:ECHR:1982:1018JUD000721575,['ECLI:CE:ECHR:1981:1105JUD000721575']
ECLI:CE:ECHR:1983:0425JUD000790677,['ECLI:CE:ECHR:1982:0624JUD000790677']
ECLI:CE:ECHR:1984:0802JUD000869179,['ECLI:CE:ECHR:1985:0426JUD000869179']
ECLI:CE:ECHR:1986:1124JUD000906380,['ECLI:CE:ECHR:1987:0914JUD000906380']
ECLI:CE:ECHR:1987:0708JUD000958081,['ECLI:CE:ECHR:1988:0609JUD000958081']
ECLI:CE:ECHR:1987:0708JUD000927681,['ECLI:CE:ECHR:1988:0609JUD000927681']
ECLI:CE:ECHR:1988:1005JUD000978782,['ECLI:CE:ECHR:1987:0302JUD000978782']
ECLI:CE:ECHR:1991:1212JUD001271887,['ECLI:CE:ECHR:1998:0305JUD001271887']
ECLI:CE:ECHR:1992:1125JUD001272887,['ECLI:CE:ECHR:1992:1029JUD001423488']
ECLI:CE:ECHR:1992:0422JUD001235186,['ECLI:CE:ECHR:1992:1028JUD001235186']
ECLI:CE:ECHR:1992:1216JUD001371088,['ECLI:CE:ECHR:1988:0620JUD001136885']
ECLI:CE:ECHR:1993:0225JUD001266187,['ECLI:CE:ECHR:1993:1129JUD001266187']
ECLI:CE:ECHR:1993:0209JUD001274287,['ECLI:CE:ECHR:1991:1129JUD001274287']
ECLI:CE:ECHR:1993:0210JUD001149185,['ECLI:CE:ECHR:1991:0219JUD001149185']
ECLI:CE:ECHR:1993:0624JUD001455689,['ECLI:CE:ECHR:1995:1031JUD001455689']
ECLI:CE:ECHR:1993:0920JUD001341687,"['ECLI:CE:ECHR:1997:0429JUD001341687', 'ECLI:CE:ECHR:1996:0710JUD001341687']"
ECLI:CE:ECHR:1993:0624JUD001451889,['ECLI:CE:ECHR:1995:0131JUD001451889']
ECLI:CE:ECHR:1993:0628JUD001248986,['ECLI:CE:ECHR:1990:0927JUD001248986']
ECLI:CE:ECHR:1993:1129JUD001266187,['ECLI:CE:ECHR:1993:0225JUD001266187']
ECLI:CE:ECHR:1993:1004JUD001284987,['ECLI:CE:ECHR:1991:1129JUD001284987']
ECLI:CE:ECHR:1994:0922JUD001361688,"['ECLI:CE:ECHR:1995:0703JUD001361688', 'ECLI:CE:ECHR:1997:0703JUD001361688']"
ECLI:CE:ECHR:1994:1219JUD001515389,['ECLI:CE:ECHR:1992:1029JUD001423488']
ECLI:CE:ECHR:1995:0210JUD001517589,['ECLI:CE:ECHR:1996:0807JUD001517589']
ECLI:CE:ECHR:1995:0131JUD001451889,['ECLI:CE:ECHR:1993:0624JUD001451889']
ECLI:CE:ECHR:1995:0209JUD001744090,['ECLI:CE:ECHR:1996:0226JUD001744090']
ECLI:CE:ECHR:1995:0703JUD001361688,"['ECLI:CE:ECHR:1997:0703JUD001361688', 'ECLI:CE:ECHR:1994:0922JUD001361688']"
ECLI:CE:ECHR:1995:1031JUD001455689,['ECLI:CE:ECHR:1993:0624JUD001455689']
ECLI:CE:ECHR:1995:0926JUD001785191,['ECLI:CE:ECHR:1996:0902JUD001785191']
ECLI:CE:ECHR:1995:1120JUD001784991,['ECLI:CE:ECHR:1997:0703JUD001784991']
ECLI:CE:ECHR:1996:0902JUD001785191,['ECLI:CE:ECHR:1995:0926JUD001785191']
ECLI:CE:ECHR:1996:0226JUD001744090,['ECLI:CE:ECHR:1995:0209JUD001744090']
ECLI:CE:ECHR:1996:0807JUD001517589,['ECLI:CE:ECHR:1995:0210JUD001517589']
ECLI:CE:ECHR:1996:0710JUD001341687,"['ECLI:CE:ECHR:1997:0429JUD001341687', 'ECLI:CE:ECHR:1993:0920JUD001341687']"
ECLI:CE:ECHR:1996:1115JUD002068092,['ECLI:CE:ECHR:1998:0331JUD002068092']
ECLI:CE:ECHR:1996:1115JUD001938592,['ECLI:CE:ECHR:1998:0331JUD001938592']
ECLI:CE:ECHR:1997:0221JUD001963292,['ECLI:CE:ECHR:1998:0902JUD001963292']
ECLI:CE:ECHR:1997:0703JUD001361688,"['ECLI:CE:ECHR:1995:0703JUD001361688', 'ECLI:CE:ECHR:1994:0922JUD001361688']"
ECLI:CE:ECHR:1997:0429JUD001341687,"['ECLI:CE:ECHR:1993:0920JUD001341687', 'ECLI:CE:ECHR:1996:0710JUD001341687']"
ECLI:CE:ECHR:1997:1128JUD002318694,['ECLI:CE:ECHR:1998:0724JUD002318694']
ECLI:CE:ECHR:1997:0703JUD001784991,['ECLI:CE:ECHR:1995:1120JUD001784991']
ECLI:CE:ECHR:1998:0305JUD001271887,['ECLI:CE:ECHR:1991:1212JUD001271887']
ECLI:CE:ECHR:1998:0331JUD001938592,['ECLI:CE:ECHR:1996:1115JUD001938592']
ECLI:CE:ECHR:1998:0331JUD002068092,['ECLI:CE:ECHR:1996:1115JUD002068092']
ECLI:CE:ECHR:1998:0401JUD002189393,['ECLI:CE:ECHR:1996:0916JUD002189393']
