ecli,references
ECLI:CE:ECHR:2000:0615DEC004043398,[]
ECLI:CE:ECHR:2003:1023JUD004610699,[]
ECLI:CE:ECHR:2007:0913DEC001563806,[]
ECLI:CE:ECHR:2007:1206JUD001933105,[]
ECLI:CE:ECHR:2010:0910JUD003133306,[]
ECLI:CE:ECHR:2010:0914JUD000699108,['ECLI:CE:ECHR:2010:0914JUD000699108']
ECLI:CE:ECHR:2010:0914JUD002934206,[]
ECLI:CE:ECHR:2010:0914JUD003718603,['ECLI:CE:ECHR:2010:1216JUD001424805']
ECLI:CE:ECHR:2010:0928DEC003835406,[]
ECLI:CE:ECHR:2010:1014JUD003150807,[]
ECLI:CE:ECHR:2010:1021JUD002540409,[]
ECLI:CE:ECHR:2010:1021JUD003155505,[]
ECLI:CE:ECHR:2010:1021JUD003811204,[]
ECLI:CE:ECHR:2010:1028JUD000216102,[]
ECLI:CE:ECHR:2010:1028JUD002015705,[]
ECLI:CE:ECHR:2010:1102JUD000397605,[]
ECLI:CE:ECHR:2010:1102JUD002127203,[]
ECLI:CE:ECHR:2010:1102JUD003721703,['ECLI:CE:ECHR:2010:1102JUD003721703']
ECLI:CE:ECHR:2010:1109JUD002030702,[]
ECLI:CE:ECHR:2010:1109JUD002274603,['ECLI:CE:ECHR:2012:0117JUD000914607']
ECLI:CE:ECHR:2010:1109JUD004406506,[]
ECLI:CE:ECHR:2010:1123DEC001297709,[]
ECLI:CE:ECHR:2010:1125JUD002042907,[]
ECLI:CE:ECHR:2010:1125JUD003025103,['ECLI:CE:ECHR:2012:0117JUD000914607']
ECLI:CE:ECHR:2010:1125JUD007572601,[]
ECLI:CE:ECHR:2010:1130JUD004315505,['ECLI:CE:ECHR:2009:1201JUD000867305']
ECLI:CE:ECHR:2010:1202JUD002706505,[]
ECLI:CE:ECHR:2010:1207JUD002748002,[]
ECLI:CE:ECHR:2010:1207JUD005176207,[]
ECLI:CE:ECHR:2010:1209JUD000779808,[]
ECLI:CE:ECHR:2010:1216JUD001424805,[]
ECLI:CE:ECHR:2010:1216JUD002557905,['ECLI:CE:ECHR:2011:1103JUD005781300']
ECLI:CE:ECHR:2010:1216JUD003309908,[]
ECLI:CE:ECHR:2010:1221JUD003469005,[]
ECLI:CE:ECHR:2011:0106JUD003493204,[]
ECLI:CE:ECHR:2011:0118DEC003458610,[]
ECLI:CE:ECHR:2011:0118JUD000447903,['ECLI:CE:ECHR:2012:1023JUD001432508']
ECLI:CE:ECHR:2011:0120JUD001481104,[]
ECLI:CE:ECHR:2011:0120JUD001621208,[]
ECLI:CE:ECHR:2011:0121JUD003069609,['ECLI:CE:ECHR:2008:0124JUD002978703']
ECLI:CE:ECHR:2011:0125JUD003334704,[]
ECLI:CE:ECHR:2011:0203JUD001813602,[]
ECLI:CE:ECHR:2011:0208JUD003015703,['ECLI:CE:ECHR:2012:1002JUD000512605']
ECLI:CE:ECHR:2011:0224JUD003390804,[]
ECLI:CE:ECHR:2011:0308JUD001653006,[]
ECLI:CE:ECHR:2011:0322JUD003800304,[]
ECLI:CE:ECHR:2011:0329DEC000996508,[]
ECLI:CE:ECHR:2011:0329JUD002344503,[]
ECLI:CE:ECHR:2011:0329JUD003124205,[]
ECLI:CE:ECHR:2011:0329JUD003394905,[]
ECLI:CE:ECHR:2011:0405JUD000605107,[]
ECLI:CE:ECHR:2011:0405JUD000868708,"['ECLI:CE:ECHR:2008:0124JUD002978703', 'ECLI:CE:ECHR:2011:0121JUD003069609']"
ECLI:CE:ECHR:2011:0412JUD002118809,[]
ECLI:CE:ECHR:2011:0421JUD004231004,[]
ECLI:CE:ECHR:2011:0426JUD002509107,[]
ECLI:CE:ECHR:2011:0503JUD000150302,[]
ECLI:CE:ECHR:2011:0503JUD001717004,['ECLI:CE:ECHR:2011:0503JUD000150302']
ECLI:CE:ECHR:2011:0503JUD004100904,[]
