ecli,references
ECLI:CE:ECHR:2011:0113JUD002736004,[]
ECLI:CE:ECHR:2011:0609JUD003049304,['ECLI:CE:ECHR:2010:1021JUD002447803']
ECLI:CE:ECHR:2011:0609JUD003104704,['ECLI:CE:ECHR:2010:1021JUD002447803']
ECLI:CE:ECHR:2011:1124JUD000464608,"['ECLI:CE:ECHR:2011:0414JUD003006004', 'ECLI:CE:ECHR:2011:0113JUD000658704']"
ECLI:CE:ECHR:2011:1124JUD004803806,[]
ECLI:CE:ECHR:2012:0410JUD002801910,['ECLI:CE:ECHR:2011:1124JUD004803806']
ECLI:CE:ECHR:2012:0628JUD000330010,"['ECLI:CE:ECHR:2011:0414JUD003006004', 'ECLI:CE:ECHR:2011:1124JUD000464608', 'ECLI:CE:ECHR:2011:0113JUD000658704']"
ECLI:CE:ECHR:2012:0918JUD002511909,['ECLI:CE:ECHR:2010:1021JUD002447803']
ECLI:CE:ECHR:2013:0108DEC004375910,[]
ECLI:CE:ECHR:2013:0212JUD000015204,[]
ECLI:CE:ECHR:2013:0516JUD002008407,['ECLI:CE:ECHR:2011:0113JUD000658704']
ECLI:CE:ECHR:2013:0919JUD001716711,['ECLI:CE:ECHR:2011:1124JUD004803806']
