ecli,references
ECLI:CE:ECHR:2010:1028JUD002328404,[]
ECLI:CE:ECHR:2011:0113JUD002736004,[]
ECLI:CE:ECHR:2011:0208JUD003015703,['ECLI:CE:ECHR:2010:1028JUD002328404']
ECLI:CE:ECHR:2011:0210JUD004010702,['ECLI:CE:ECHR:2010:1028JUD002328404']
ECLI:CE:ECHR:2011:0421JUD004231004,['ECLI:CE:ECHR:2011:0210JUD004010702']
ECLI:CE:ECHR:2011:0531JUD000582904,"['ECLI:CE:ECHR:2010:1028JUD002328404', 'ECLI:CE:ECHR:2012:0925JUD002215205', 'ECLI:CE:ECHR:2011:0531JUD000582904']"
ECLI:CE:ECHR:2011:0915JUD002313604,['ECLI:CE:ECHR:2011:0210JUD004010702']
ECLI:CE:ECHR:2011:0915JUD002465204,['ECLI:CE:ECHR:2011:0210JUD004010702']
ECLI:CE:ECHR:2011:0920JUD003960205,[]
ECLI:CE:ECHR:2011:1124JUD000464608,"['ECLI:CE:ECHR:2011:0414JUD003006004', 'ECLI:CE:ECHR:2011:0113JUD000658704']"
ECLI:CE:ECHR:2011:1124JUD001921304,['ECLI:CE:ECHR:2011:0210JUD004010702']
ECLI:CE:ECHR:2011:1201JUD000808008,['ECLI:CE:ECHR:2011:0414JUD003006004']
ECLI:CE:ECHR:2011:1206JUD004587506,[]
ECLI:CE:ECHR:2011:1215JUD003063405,['ECLI:CE:ECHR:2011:0210JUD004010702']
ECLI:CE:ECHR:2012:0117JUD002974709,['ECLI:CE:ECHR:2012:0925JUD002215205']
ECLI:CE:ECHR:2012:0119JUD001177805,[]
ECLI:CE:ECHR:2012:0119JUD003988405,[]
ECLI:CE:ECHR:2012:0207JUD000372708,['ECLI:CE:ECHR:2011:1201JUD000808008']
ECLI:CE:ECHR:2012:0223JUD002922603,['ECLI:CE:ECHR:2010:1109JUD000463404']
ECLI:CE:ECHR:2012:0424JUD004179404,['ECLI:CE:ECHR:2012:0925JUD002215205']
ECLI:CE:ECHR:2012:0628JUD000330010,"['ECLI:CE:ECHR:2011:0414JUD003006004', 'ECLI:CE:ECHR:2011:1124JUD000464608', 'ECLI:CE:ECHR:2011:0113JUD000658704']"
ECLI:CE:ECHR:2012:0703JUD000649211,"['ECLI:CE:ECHR:2011:0531JUD000582904', 'ECLI:CE:ECHR:2011:0421JUD004231004', 'ECLI:CE:ECHR:2011:0210JUD004010702']"
ECLI:CE:ECHR:2013:0307JUD001559808,"['ECLI:CE:ECHR:2011:0414JUD003006004', 'ECLI:CE:ECHR:2011:1201JUD000808008', 'ECLI:CE:ECHR:2010:1109JUD000463404']"
ECLI:CE:ECHR:2013:0430JUD004987211,"['ECLI:CE:ECHR:2010:1028JUD002328404', 'ECLI:CE:ECHR:2012:0405JUD003764510', 'ECLI:CE:ECHR:2011:0531JUD000582904', 'ECLI:CE:ECHR:2012:0703JUD000649211', 'ECLI:CE:ECHR:2011:0421JUD004231004', 'ECLI:CE:ECHR:2011:0210JUD004010702']"
