ecli,references
ECLI:CE:ECHR:2011:0113JUD002736004,[]
ECLI:CE:ECHR:2011:0526JUD003982207,[]
ECLI:CE:ECHR:2011:1011JUD003095110,[]
ECLI:CE:ECHR:2011:1124JUD000464608,"['ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2011:0113JUD000658704']"
ECLI:CE:ECHR:2011:1206JUD000859506,[]
ECLI:CE:ECHR:2012:0117JUD002458006,[]
ECLI:CE:ECHR:2012:0117JUD003676006,[]
ECLI:CE:ECHR:2012:0207JUD002886903,[]
ECLI:CE:ECHR:2012:0214JUD001346906,"['ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2011:1011JUD003095110']"
ECLI:CE:ECHR:2012:0419JUD000245204,"['ECLI:CE:ECHR:2011:0719JUD002600002', 'ECLI:CE:ECHR:2012:0117JUD003676006']"
ECLI:CE:ECHR:2012:0619JUD002288305,['ECLI:CE:ECHR:2012:0117JUD003676006']
ECLI:CE:ECHR:2012:0628JUD000330010,"['ECLI:CE:ECHR:2011:1124JUD000464608', 'ECLI:CE:ECHR:2011:0113JUD000658704']"
ECLI:CE:ECHR:2012:0703JUD003480604,['ECLI:CE:ECHR:2012:0117JUD003676006']
ECLI:CE:ECHR:2012:0918DEC001383707,"['ECLI:CE:ECHR:2012:0117JUD002458006', 'ECLI:CE:ECHR:2012:0117JUD003676006']"
ECLI:CE:ECHR:2012:1002JUD002283108,['ECLI:CE:ECHR:2012:0619JUD002288305']
ECLI:CE:ECHR:2012:1002JUD004124208,"['ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2012:0703JUD003480604']"
ECLI:CE:ECHR:2012:1122JUD002341907,"['ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2011:0526JUD003982207', 'ECLI:CE:ECHR:2012:0214JUD001346906', 'ECLI:CE:ECHR:2011:0719JUD002600002', 'ECLI:CE:ECHR:2012:0703JUD003480604']"
ECLI:CE:ECHR:2013:0110JUD004341809,"['ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2012:0619JUD002288305']"
ECLI:CE:ECHR:2013:0122JUD003311702,"['ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2012:0214JUD001346906', 'ECLI:CE:ECHR:2011:0726JUD004637209', 'ECLI:CE:ECHR:2011:0705JUD003305508']"
ECLI:CE:ECHR:2013:0122JUD003593910,"['ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2012:0214JUD001346906', 'ECLI:CE:ECHR:2011:0719JUD002600002', 'ECLI:CE:ECHR:2011:1124JUD000464608', 'ECLI:CE:ECHR:2012:0703JUD003480604', 'ECLI:CE:ECHR:2012:1002JUD004124208']"
ECLI:CE:ECHR:2013:0502JUD001173706,"['ECLI:CE:ECHR:2012:0703JUD003480604', 'ECLI:CE:ECHR:2011:0726JUD004637209', 'ECLI:CE:ECHR:2011:0705JUD003305508']"
ECLI:CE:ECHR:2013:0903JUD002239805,['ECLI:CE:ECHR:2013:0110JUD004341809']
ECLI:CE:ECHR:2013:0917DEC003235709,['ECLI:CE:ECHR:2012:0117JUD003676006']
