ecli,references
ECLI:CE:ECHR:2011:0331JUD006084610,[]
ECLI:CE:ECHR:2011:0421JUD004231004,[]
ECLI:CE:ECHR:2011:0621DEC000964409,[]
ECLI:CE:ECHR:2011:1214DEC001321605,['ECLI:CE:ECHR:2011:0920JUD001490204']
ECLI:CE:ECHR:2012:0612JUD006059310,[]
ECLI:CE:ECHR:2012:0703JUD000649211,['ECLI:CE:ECHR:2011:0421JUD004231004']
ECLI:CE:ECHR:2012:0925JUD002064105,[]
ECLI:CE:ECHR:2012:1108JUD002897311,[]
ECLI:CE:ECHR:2013:0205JUD006728610,[]
ECLI:CE:ECHR:2013:0219JUD001626205,['ECLI:CE:ECHR:2011:0421JUD004231004']
ECLI:CE:ECHR:2013:0521DEC005925311,['ECLI:CE:ECHR:2011:0920JUD001490204']
ECLI:CE:ECHR:2013:0709JUD000233009,[]
ECLI:CE:ECHR:2013:0723JUD004187210,[]
ECLI:CE:ECHR:2013:0919JUD001688008,[]
