ecli,references
ECLI:CE:ECHR:2010:1021JUD001744404,[]
ECLI:CE:ECHR:2010:1216JUD001424805,[]
ECLI:CE:ECHR:2011:0621JUD002965204,['ECLI:CE:ECHR:2010:1216JUD001424805']
ECLI:CE:ECHR:2011:0628JUD002019703,[]
ECLI:CE:ECHR:2011:0726JUD003548505,[]
ECLI:CE:ECHR:2011:1108DEC001108206,['ECLI:CE:ECHR:2013:0725JUD001108206']
ECLI:CE:ECHR:2012:0112JUD003990805,['ECLI:CE:ECHR:2010:1216JUD001424805']
ECLI:CE:ECHR:2012:0410JUD003432004,[]
ECLI:CE:ECHR:2012:0710JUD005833109,[]
ECLI:CE:ECHR:2012:0724JUD002947606,[]
ECLI:CE:ECHR:2012:1211JUD000365305,['ECLI:CE:ECHR:2011:0726JUD003548505']
ECLI:CE:ECHR:2013:0305JUD006100509,['ECLI:CE:ECHR:2011:0412JUD002117503']
ECLI:CE:ECHR:2013:0411JUD002037211,[]
ECLI:CE:ECHR:2013:0725JUD001108206,"['ECLI:CE:ECHR:2011:0628JUD002019703', 'ECLI:CE:ECHR:2013:0725JUD001108206', 'ECLI:CE:ECHR:2011:0726JUD003548505', 'ECLI:CE:ECHR:2011:0920JUD001490204', 'ECLI:CE:ECHR:2010:1216JUD001424805', 'ECLI:CE:ECHR:2011:0621JUD002965204']"
ECLI:CE:ECHR:2013:1008JUD002986103,[]
ECLI:CE:ECHR:2013:1008JUD002986403,['ECLI:CE:ECHR:2011:0726JUD003548505']
