ecli,references
ECLI:CE:ECHR:2010:0928JUD004015607,[]
ECLI:CE:ECHR:2010:1021JUD001744404,[]
ECLI:CE:ECHR:2011:0628JUD002019703,[]
ECLI:CE:ECHR:2011:0726JUD003548505,[]
ECLI:CE:ECHR:2011:1108DEC001108206,['ECLI:CE:ECHR:2013:0725JUD001108206']
ECLI:CE:ECHR:2011:1215JUD002676605,['ECLI:CE:ECHR:2010:1021JUD001744404']
ECLI:CE:ECHR:2012:0313JUD000560504,['ECLI:CE:ECHR:2011:0127JUD004222402']
ECLI:CE:ECHR:2012:0410JUD000808805,['ECLI:CE:ECHR:2011:1215JUD002676605']
ECLI:CE:ECHR:2012:0410JUD001994604,[]
ECLI:CE:ECHR:2012:0417JUD004360907,"['ECLI:CE:ECHR:2011:0510JUD001735404', 'ECLI:CE:ECHR:2011:1215JUD002676605']"
ECLI:CE:ECHR:2012:0424JUD000141305,['ECLI:CE:ECHR:2011:0127JUD004222402']
ECLI:CE:ECHR:2012:0503JUD002388005,['ECLI:CE:ECHR:2011:1215JUD002676605']
ECLI:CE:ECHR:2012:0510JUD002832803,['ECLI:CE:ECHR:2011:1215JUD002676605']
ECLI:CE:ECHR:2012:0522JUD000582603,[]
ECLI:CE:ECHR:2012:0710JUD002935306,['ECLI:CE:ECHR:2011:1215JUD002676605']
ECLI:CE:ECHR:2012:0710JUD005833109,[]
ECLI:CE:ECHR:2012:0719JUD002617107,['ECLI:CE:ECHR:2011:1215JUD002676605']
ECLI:CE:ECHR:2012:1002JUD000725903,['ECLI:CE:ECHR:2011:1215JUD002676605']
ECLI:CE:ECHR:2012:1122JUD004620308,"['ECLI:CE:ECHR:2012:0719JUD002988107', 'ECLI:CE:ECHR:2012:0503JUD002388005', 'ECLI:CE:ECHR:2012:0424JUD000141305', 'ECLI:CE:ECHR:2012:0410JUD000808805', 'ECLI:CE:ECHR:2012:0124JUD002489305', 'ECLI:CE:ECHR:2012:0510JUD002832803']"
ECLI:CE:ECHR:2012:1211JUD000365305,"['ECLI:CE:ECHR:2011:0726JUD003548505', 'ECLI:CE:ECHR:2011:1215JUD002676605']"
ECLI:CE:ECHR:2013:0219JUD006180008,"['ECLI:CE:ECHR:2012:0710JUD002935306', 'ECLI:CE:ECHR:2010:1021JUD001744404', 'ECLI:CE:ECHR:2011:1215JUD002676605']"
ECLI:CE:ECHR:2013:0226JUD005025407,['ECLI:CE:ECHR:2011:1215JUD002676605']
ECLI:CE:ECHR:2013:0404JUD003046506,"['ECLI:CE:ECHR:2011:1215JUD002676605', 'ECLI:CE:ECHR:2012:0710JUD005833109', 'ECLI:CE:ECHR:2012:0510JUD002832803']"
ECLI:CE:ECHR:2013:0411JUD002037211,['ECLI:CE:ECHR:2011:1215JUD002676605']
ECLI:CE:ECHR:2013:0711JUD000277507,"['ECLI:CE:ECHR:2012:0410JUD000808805', 'ECLI:CE:ECHR:2011:1215JUD002676605']"
ECLI:CE:ECHR:2013:0718JUD005963209,"['ECLI:CE:ECHR:2012:0503JUD002388005', 'ECLI:CE:ECHR:2010:0928JUD004015607', 'ECLI:CE:ECHR:2011:1215JUD002676605']"
ECLI:CE:ECHR:2013:0725JUD001108206,"['ECLI:CE:ECHR:2011:0628JUD002019703', 'ECLI:CE:ECHR:2012:0424JUD000141305', 'ECLI:CE:ECHR:2013:0725JUD001108206', 'ECLI:CE:ECHR:2011:1215JUD002676605', 'ECLI:CE:ECHR:2011:0726JUD003548505']"
ECLI:CE:ECHR:2013:1008JUD002986103,['ECLI:CE:ECHR:2010:0928JUD004015607']
ECLI:CE:ECHR:2013:1008JUD002986403,"['ECLI:CE:ECHR:2010:0928JUD004015607', 'ECLI:CE:ECHR:2011:0726JUD003548505']"
