ecli,references
ECLI:CE:ECHR:2007:0913DEC001563806,[]
ECLI:CE:ECHR:2010:0720JUD000506506,[]
ECLI:CE:ECHR:2010:0729JUD000854906,"['ECLI:CE:ECHR:2012:0410JUD007365910', 'ECLI:CE:ECHR:2011:0920JUD001490204']"
ECLI:CE:ECHR:2010:0729JUD003607906,[]
ECLI:CE:ECHR:2010:0928JUD003706006,[]
ECLI:CE:ECHR:2010:1005DEC000042007,[]
ECLI:CE:ECHR:2010:1012JUD003076705,[]
ECLI:CE:ECHR:2010:1102JUD000397605,[]
ECLI:CE:ECHR:2010:1104JUD001448008,[]
ECLI:CE:ECHR:2010:1118JUD001899007,[]
ECLI:CE:ECHR:2010:1202JUD000672205,[]
ECLI:CE:ECHR:2010:1202JUD001285303,[]
ECLI:CE:ECHR:2010:1202JUD001557803,[]
ECLI:CE:ECHR:2010:1207JUD002748002,[]
ECLI:CE:ECHR:2011:0201JUD003476405,[]
ECLI:CE:ECHR:2011:0203JUD001068702,[]
ECLI:CE:ECHR:2011:0217JUD000626808,[]
ECLI:CE:ECHR:2011:0308JUD001653006,[]
ECLI:CE:ECHR:2011:0322JUD003800304,[]
ECLI:CE:ECHR:2011:0329JUD001348807,[]
ECLI:CE:ECHR:2011:0329JUD002344503,[]
ECLI:CE:ECHR:2011:0329JUD003394905,['ECLI:CE:ECHR:2011:0201JUD001415502']
ECLI:CE:ECHR:2011:0405JUD002677107,[]
ECLI:CE:ECHR:2011:0419JUD003318608,[]
ECLI:CE:ECHR:2011:0503JUD000150302,[]
ECLI:CE:ECHR:2011:0503JUD001717004,['ECLI:CE:ECHR:2011:0503JUD000150302']
ECLI:CE:ECHR:2011:0524DEC005183807,[]
ECLI:CE:ECHR:2011:0531JUD004628609,[]
ECLI:CE:ECHR:2011:0614DEC003887503,[]
ECLI:CE:ECHR:2011:0621JUD002436004,[]
ECLI:CE:ECHR:2011:0712JUD001829002,['ECLI:CE:ECHR:2010:1207JUD002748002']
ECLI:CE:ECHR:2011:0719JUD002930903,[]
ECLI:CE:ECHR:2011:0920JUD001785404,['ECLI:CE:ECHR:2010:1118JUD002794007']
ECLI:CE:ECHR:2011:1006JUD002346503,[]
ECLI:CE:ECHR:2011:1011JUD005786209,"['ECLI:CE:ECHR:2011:0405JUD002677107', 'ECLI:CE:ECHR:2011:1122JUD000224310']"
ECLI:CE:ECHR:2011:1025JUD000203304,"['ECLI:CE:ECHR:2011:0531JUD004628609', 'ECLI:CE:ECHR:2011:0707JUD003745202']"
ECLI:CE:ECHR:2011:1115JUD003038303,['ECLI:CE:ECHR:2010:1012JUD003076705']
ECLI:CE:ECHR:2011:1122JUD000222610,['ECLI:CE:ECHR:2011:0405JUD002677107']
ECLI:CE:ECHR:2011:1122JUD000224310,['ECLI:CE:ECHR:2010:0729JUD003607906']
ECLI:CE:ECHR:2011:1122JUD002028710,['ECLI:CE:ECHR:2011:0405JUD002677107']
ECLI:CE:ECHR:2011:1206JUD000709710,[]
ECLI:CE:ECHR:2011:1206JUD004587506,[]
ECLI:CE:ECHR:2011:1213JUD002745806,['ECLI:CE:ECHR:2011:0531JUD004628609']
ECLI:CE:ECHR:2011:1213JUD003182702,['ECLI:CE:ECHR:2011:0201JUD003497605']
ECLI:CE:ECHR:2012:0110JUD003346803,[]
ECLI:CE:ECHR:2012:0124DEC001183807,['ECLI:CE:ECHR:2011:0531JUD004628609']
ECLI:CE:ECHR:2012:0214JUD003543005,['ECLI:CE:ECHR:2011:1011JUD005786209']
ECLI:CE:ECHR:2012:0228JUD001742305,['ECLI:CE:ECHR:2011:0329JUD002344503']
ECLI:CE:ECHR:2012:0313JUD002378008,[]
ECLI:CE:ECHR:2012:0313JUD002626605,['ECLI:CE:ECHR:2011:0707JUD003745202']
ECLI:CE:ECHR:2012:0403JUD001796610,[]
ECLI:CE:ECHR:2012:0403JUD005452200,[]
ECLI:CE:ECHR:2012:0410JUD002049602,['ECLI:CE:ECHR:2012:0110JUD003346803']
ECLI:CE:ECHR:2012:0417JUD003192508,"['ECLI:CE:ECHR:2011:0531JUD004628609', 'ECLI:CE:ECHR:2011:0707JUD003745202']"
ECLI:CE:ECHR:2012:0529JUD000248909,['ECLI:CE:ECHR:2011:0322JUD003800304']
ECLI:CE:ECHR:2012:0531JUD001496604,[]
ECLI:CE:ECHR:2012:0607JUD003843309,[]
ECLI:CE:ECHR:2012:0619JUD001776708,"['ECLI:CE:ECHR:2011:0531JUD004628609', 'ECLI:CE:ECHR:2011:0707JUD003745202']"
ECLI:CE:ECHR:2012:0626JUD000930007,[]
ECLI:CE:ECHR:2012:0724JUD005516711,['ECLI:CE:ECHR:2012:0410JUD002049602']
ECLI:CE:ECHR:2012:0731JUD000060407,"['ECLI:CE:ECHR:2010:1012JUD003076705', 'ECLI:CE:ECHR:2011:0308JUD001653006']"
ECLI:CE:ECHR:2012:0828JUD001715311,[]
