ecli,references
ECLI:CE:ECHR:2010:1207JUD005176207,[]
ECLI:CE:ECHR:2011:0106JUD003493204,[]
ECLI:CE:ECHR:2012:0221JUD001651106,[]
ECLI:CE:ECHR:2012:0221JUD001955406,[]
ECLI:CE:ECHR:2012:0228JUD001846906,[]
ECLI:CE:ECHR:2012:0522JUD000012605,['ECLI:CE:ECHR:2010:1123JUD006004108']
ECLI:CE:ECHR:2012:0619JUD002940005,"['ECLI:CE:ECHR:2012:0315JUD004220207', 'ECLI:CE:ECHR:2011:0106JUD003493204']"
ECLI:CE:ECHR:2012:0710DEC005836910,[]
ECLI:CE:ECHR:2013:0507JUD001984009,['ECLI:CE:ECHR:2012:0315JUD004220207']
ECLI:CE:ECHR:2013:0611DEC001262613,['ECLI:CE:ECHR:2010:1123JUD006004108']
ECLI:CE:ECHR:2013:0704JUD001115704,"['ECLI:CE:ECHR:2011:0106JUD003493204', 'ECLI:CE:ECHR:2010:1123JUD006004108']"
ECLI:CE:ECHR:2013:0917JUD002941107,['ECLI:CE:ECHR:2012:0522JUD000012605']
