missing_reference,count
Application number: 42525/07,998
Application number: 60800/08,998
Application number: 17153/11,677
Application number: 41963/98,540
Application number: 39221/98,539
Application number: 40792/10,516
Application number: 43577/98,508
Application number: 43579/98,508
Application number: 57220/00,452
Application number: 16064/90,409
Application number: 46827/99,358
Application number: 46951/99,358
Application number: 54381/08,353
Application number: 43441/08,351
Application number: 32541/08,350
Application number: 60641/08,348
Application number: 40660/08,348
Application number: 10865/09,342
Application number: 65731/01,341
Application number: 57942/00,337
Application number: 57945/00,334
Application number: 57834/00,316
Application number: 33097/96,308
Application number: 15212/03,298
Application number: 30566/04,295
Application number: 30562/04,294
Application number: 21279/02,288
Application number: 36448/02,288
Application number: 33985/96,282
Application number: 33986/96,281
Application number: 46720/99,278
Application number: 65900/01,276
Application number: 48183/99,274
Application number: 46133/99,274
Application number: 25088/94,267
Application number: 22228/06,260
Application number: 26766/05,260
Application number: 50541/08,257
Application number: 28443/95,244
Application number: 28331/95,238
Application number: 25809/17,232
Application number: 72552/01,229
Application number: 72203/01,229
Application number: 16065/90,223
Application number: 16066/90,222
Application number: 16073/90,222
Application number: 16072/90,219
Application number: 16070/90,219
Application number: 16069/90,219
Application number: 16068/90,219
Application number: 16071/90,219
Application number: 55391/13,206
Application number: 61467/12,205
Application number: 13413/04,189
Application number: 9852/03,189
Application number: 46113/99,187
Application number: 18255/10,182
Application number: 29580/12,181
Application number: 34979/97,176
Application number: 32684/09,172
Application number: 29381/09,172
Application number: 34044/96,170
Application number: 41340/98,168
Application number: 28955/06,164
Application number: 13772/05,164
Application number: 11082/06,161
Application number: 42219/07,161
Application number: 29221/95,154
Application number: 29225/95,154
Application number: 27996/06,153
Application number: 34836/06,153
Application number: 32492/96,152
Application number: 57818/09,152
Application number: 35532/97,150
Application number: 44801/98,147
Application number: 69789/01,142
Application number: 40086/98,140
Application number: 39665/98,140
Application number: 25182/94,139
Application number: 55480/00,139
Application number: 59330/00,137
Application number: 26956/95,137
Application number: 57984/00,136
Application number: 22947/93,136
Application number: 22948/93,136
Application number: 41344/98,135
Application number: 52620/99,135
Application number: 41343/98,135
Application number: 55508/07,134
Application number: 29520/09,134
Application number: 41342/98,132
Application number: 40104/98,130
Application number: 36812/97,130
Application number: 60679/00,129
Application number: 60680/00,129
Application number: 60242/00,129
Application number: 60226/00,129
Application number: 68563/01,129
"Lithgow and Others v. the United Kingdom judgment of 8 July 1986, Series A no. 102, p. 50, § 120",128
Application number: 27505/14,128
Application number: 10211/12,127
Application number: 1828/06,124
Application number: 38366/97,123
Application number: 27057/06,123
Application number: 2944/06,122
Application number: 20862/02,122
Application number: 2269/06,121
Application number: 35553/12,120
Application number: 60237/00,117
Application number: 25501/07,117
Application number: 4149/04,116
Application number: 28635/95,116
Application number: 30171/96,115
Application number: 41029/04,115
Application number: 33210/96,115
Application number: 33209/96,115
Application number: 32547/96,115
Application number: 34535/97,115
Application number: 32548/96,114
Application number: 66069/09,113
Application number: 57947/00,113
Application number: 39692/09,112
Application number: 29900/96,112
Application number: 44698/06,111
Application number: 43370/04,110
Application number: 21954/93,110
Application number: 35091/02,108
Application number: 57949/00,107
Application number: 57948/00,107
Application number: 67299/01,107
"Stran Greek Refineries and Stratis Andreadis v. Greece judgment of 9 December 1994, Series A no. 301-B, p. 90, § 82",107
Application number: 39794/98,107
Application number: 55762/00,107
Application number: 56413/00,106
Application number: 55974/00,106
Application number: 77784/01,105
Application number: 22394/20,104
Application number: 32431/08,104
Application number: 41138/98,104
Application number: 45886/07,104
Application number: 6232/20,104
Application number: 24846/94,103
Application number: 25551/05,103
Application number: 43278/98,101
Application number: 29902/96,101
Application number: 29901/96,101
Application number: 45305/99,101
Application number: 29903/96,101
Application number: 10200/04,100
Application number: 3843/02,100
Application number: 13466/03,100
Application number: 21819/04,100
Application number: 64320/01,100
Application number: 14163/04,100
Application number: 13751/02,100
Application number: 19993/04,100
Application number: 16401/12,99
Application number: 23536/94,99
Application number: 39343/98,98
Application number: 24408/94,98
Application number: 25091/94,97
Application number: 23145/93,97
"Findlay v. the United Kingdom, judgment of 25 February 1997, Reports 1997-I, p. 284, § 85",96
Application number: 28959/06,95
Application number: 28957/06,95
Application number: 50977/15,94
Application number: 28964/06,94
Application number: 14224/15,94
Application number: 35237/97,93
Application number: 34595/97,93
Application number: 67208/01,89
Application number: 36925/10,88
Application number: 34173/96,87
Application number: 34165/96,87
Application number: 8319/07,86
Application number: 11449/07,86
Application number: 54934/00,84
Application number: 15339/02,84
Application number: 78028/01,84
Application number: 52207/99,84
Application number: 78030/01,84
Application number: 11602/02,82
Application number: 8675/15,82
Application number: 8697/15,82
Application number: 48380/99,81
Application number: 47414/99,81
Application number: 29920/05,80
Application number: 60036/00,80
Application number: 51362/99,80
Application number: 73465/01,80
Application number: 30229/96,79
Application number: 29813/96,79
Application number: 29810/03,77
Application number: 29787/03,77
Application number: 8300/07,76
Application number: 39081/02,76
Application number: 50184/07,76
Application number: 17674/02,76
Application number: 332/08,76
Application number: 47916/99,76
Application number: 42509/10,76
Application number: 2312/08,75
Application number: 68762/14,75
Application number: 31697/03,75
Application number: 27236/05,75
Application number: 34179/08,75
Application number: 8567/13,75
Application number: 45044/06,75
Application number: 1874/13,75
Application number: 61199/12,74
Application number: 60367/08,74
Application number: 961/11,74
Application number: 15018/11,74
Application number: 58698/00,73
Application number: 60921/17,73
Application number: 23788/06,73
Application number: 7202/18,73
Application number: 42908/98,73
"Capuano v. Italy, judgment of 25 June 1987, Series A no. 119-A, p. 15, § 37",72
Application number: 53367/99,72
Application number: 45437/99,72
Application number: 194/02,72
Application number: 2668/07,72
Application number: 48014/99,72
Application number: 35835/05,71
Application number: 24130/11,71
"Zimmermann and Steiner v. Switzerland, judgment of 13 July 1983, Series A no. 66, § 36",71
Application number: 29758/11,71
Application number: 43710/07,71
Application number: 7077/06,70
Application number: 29522/95,70
Application number: 35485/05,70
Application number: 40713/09,70
Application number: 24549/03,70
Application number: 62566/00,70
Application number: 41008/09,70
Application number: 3002/03,69
Application number: 52868/99,69
Application number: 4916/07,69
Application number: 32377/96,69
Application number: 23676/03,69
Application number: 28859/11,68
Application number: 28473/12,68
Application number: 43517/09,67
Application number: 71200/14,66
Application number: 18369/07,66
Application number: 5667/02,66
Application number: 18817/08,65
Application number: 33810/07,65
Application number: 52070/08,65
Application number: 27715/95,65
Application number: 30209/96,65
Application number: 57/89,65
Application number: 53/91,65
"Lithgow and Others v. the United Kingdom, judgment of 8 July 1986, Series A no. 102, p. 47, § 110",65
Application number: 41509/98,64
Application number: 24027/07,64
Application number: 41015/98,64
Application number: 41446/98,64
Application number: 50841/99,64
Application number: 4860/09,64
Application number: 41400/98,64
Application number: 41484/98,64
Application number: 40777/98,64
Application number: 40843/98,64
Application number: 38688/97,64
Application number: 59655/14,64
Application number: 31417/96,64
Application number: 26562/07,64
Application number: 39472/07,63
Application number: 30574/96,63
Application number: 40351/09,63
Application number: 39647/98,63
Application number: 40461/98,63
Application number: 39474/07,63
Application number: 60980/14,63
Application number: 2653/13,63
Application number: 64666/01,63
Application number: 30056/96,63
Application number: 29431/05,63
Application number: 76573/01,63
Application number: 36659/04,62
Application number: 17494/16,62
Application number: 30900/02,62
Application number: 29203/16,62
Application number: 73065/01,62
Application number: 9733/05,62
Application number: 8673/05,62
Application number: 48335/99,61
Application number: 75025/01,61
Application number: 50573/08,61
Application number: 8577/08,61
Application number: 8080/08,61
Application number: 32082/96,61
Application number: 67360/11,61
Application number: 50571/08,60
Application number: 27110/95,60
Application number: 7319/02,60
Application number: 44038/98,60
Application number: 60054/08,60
Application number: 64336/01,60
Application number: 65831/01,60
Application number: 48799/99,60
Application number: 60041/08,60
Application number: 44816/98,60
Application number: 10825/09,60
Application number: 47039/11,60
Application number: 2430/06,59
Application number: 24277/94,59
Application number: 33408/03,59
Application number: 23927/94,59
Application number: 18299/03,59
Application number: 27311/03,59
Application number: 71916/01,59
Application number: 18888/02,58
Application number: 5985/10,58
Application number: 48420/10,58
Application number: 358/12,58
Application number: 30668/96,58
Application number: 31694/02,58
Application number: 27928/02,58
Application number: 5774/10,58
"Incal v. Turkey, judgment of 9 June 1998, Reports 1998-IV, p. 1573, § 72 in fine",57
Application number: 36742/08,57
Application number: 46286/09,57
Application number: 46664/99,56
Application number: 43147/98,56
Application number: 39651/98,56
Application number: 8811/02,56
Application number: 11248/08,56
Application number: 27668/08,56
Application number: 52133/08,56
Application number: 29/78,56
Application number: 6023/08,56
Application number: 31242/08,56
Application number: 8819/02,56
Application number: 8813/02,56
"Hentrich v. France, judgment of 22 September 1994, Series A no. 296-A, pp. 19-20, § 42",55
Application number: 14097/12,55
Application number: 41487/98,55
Application number: 31/93,55
Application number: 11949/08,55
Application number: 62819/17,54
Application number: 38951/13,54
Application number: 39/85,54
Application number: 63921/17,54
Application number: 604/07,53
Application number: 59611/13,53
Application number: 24838/05,53
Application number: 6228/09,53
Application number: 7942/05,53
Application number: 50271/06,53
Application number: 47621/13,52
Application number: 44387/04,52
Application number: 56079/00,52
Application number: 35865/03,52
Application number: 60227/00,51
Application number: 24790/04,51
Application number: 28999/03,51
Application number: 85/05,51
Application number: 38587/97,51
Application number: 23944/05,51
Application number: 3158/96,50
"Ireland v. the United Kingdom, 18 January 1978, § 161, Series A no. 25",50
Application number: 56854/13,50
Application number: 48757/99,50
Application number: 53134/99,49
Application number: 20972/08,49
Application number: 125/04,49
Application number: 57952/00,49
Application number: 41561/07,49
Application number: 23200/10,48
Application number: 54178/00,48
Application number: 76836/01,48
Application number: 71917/01,48
Application number: 10260/02,48
Application number: 39829/98,47
Application number: 32782/03,47
Application number: 18454/06,47
Application number: 8252/05,47
Application number: 24520/94,47
Application number: 63716/00,47
Application number: 39392/98,47
Application number: 74820/10,47
Application number: 1253/04,47
Application number: 30079/08,46
Application number: 27023/03,46
Application number: 18766/11,46
Application number: 6102/08,46
Application number: 21287/02,46
Application number: 29870/96,46
Application number: 46468/99,46
Application number: 7124/09,46
"Akkus v. Turkey judgment of 9 July 1997, Reports 1997-IV, pp. 1309-1310, § 29",46
Application number: 7072/09,46
Application number: 36030/11,46
Application number: 58170/13,46
Application number: 32631/09,45
Application number: 43548/05,45
"Ireland v. the United Kingdom, 18 January 1978, Series A no. 25",45
Application number: 23130/04,45
Application number: 28671/14,45
Application number: 130/10,45
Application number: 24377/15,45
Application number: 45/89,45
Application number: 46632/13,45
Application number: 52024/99,45
Application number: 36986/06,45
Application number: 43569/05,45
Application number: 31657/96,45
Application number: 22723/93,45
Application number: 431/98,45
Application number: 35949/02,44
Application number: 34368/02,44
Application number: 59901/00,44
Application number: 10810/15,44
Application number: 32124/02,44
Application number: 22725/93,44
Application number: 22724/93,44
Application number: 35204/02,44
Application number: 35953/02,44
Application number: 8812/02,44
Application number: 35196/02,44
Application number: 35945/02,44
Application number: 53799/12,44
Application number: 38296/02,44
Application number: 36800/02,44
Application number: 35201/02,44
Application number: 42814/02,44
"Boyle and Rice v. the United Kingdom, judgment of 27 April 1988, Series A no. 131, § 52",43
Application number: 3896/10,43
Application number: 74860/01,43
Application number: 73443/01,43
"Artico v. Italy, 13 May 1980, § 33, Series A no. 37",43
Application number: 37586/06,43
"Boyle and Rice v. the United Kingdom, judgment of 27 April 1988, Series A no. 131, p. 23, § 52",43
