source_ecli,count
ECLI:CE:ECHR:2017:1012JUD004685213,12167
ECLI:CE:ECHR:2015:0210JUD005198708,1029
ECLI:CE:ECHR:2017:1010JUD001331208,842
ECLI:CE:ECHR:2015:0707JUD007228710,657
ECLI:CE:ECHR:2021:1123JUD007580516,443
ECLI:CE:ECHR:2024:0625JUD005843717,315
ECLI:CE:ECHR:2023:1212JUD001523117,285
ECLI:CE:ECHR:2014:0109JUD001289508,263
ECLI:CE:ECHR:2013:1212JUD003599509,263
ECLI:CE:ECHR:2014:0731JUD003676206,259
ECLI:CE:ECHR:2013:1212JUD004093406,259
ECLI:CE:ECHR:2013:1024JUD007263110,258
ECLI:CE:ECHR:2013:0725JUD005455209,256
ECLI:CE:ECHR:2014:0213JUD005983409,255
ECLI:CE:ECHR:2013:0620JUD006565611,254
ECLI:CE:ECHR:2014:0213JUD002926608,252
ECLI:CE:ECHR:2013:0718JUD000127012,251
ECLI:CE:ECHR:2024:1112JUD003616718,241
ECLI:CE:ECHR:2024:1217JUD004338219,239
ECLI:CE:ECHR:2024:1022JUD004948417,224
ECLI:CE:ECHR:2024:1217JUD004152717,215
ECLI:CE:ECHR:2024:1203JUD001565920,208
ECLI:CE:ECHR:2024:0625JUD002095814,199
ECLI:CE:ECHR:2013:0528JUD005761110,197
ECLI:CE:ECHR:2009:1217JUD000456307,193
ECLI:CE:ECHR:2010:0729JUD000854906,190
ECLI:CE:ECHR:2024:1203JUD001880918,173
ECLI:CE:ECHR:2015:0127JUD003692510,173
ECLI:CE:ECHR:2014:0716JUD006064208,172
ECLI:CE:ECHR:2017:1128JUD007250813,171
ECLI:CE:ECHR:2013:0620JUD002039707,165
ECLI:CE:ECHR:2024:0409JUD005360020,158
ECLI:CE:ECHR:2015:1015JUD002751008,157
ECLI:CE:ECHR:2012:1106JUD006064208,152
ECLI:CE:ECHR:2011:0510JUD003734605,146
ECLI:CE:ECHR:2011:0510JUD004805906,145
ECLI:CE:ECHR:2013:0725JUD001108206,144
ECLI:CE:ECHR:2022:1018JUD006363416,136
ECLI:CE:ECHR:2023:0706JUD002118119,134
ECLI:CE:ECHR:2023:0711JUD001434717,133
ECLI:CE:ECHR:2024:1112JUD003699417,132
ECLI:CE:ECHR:2012:0503JUD001295905,132
ECLI:CE:ECHR:2016:1020JUD000733413,132
ECLI:CE:ECHR:2024:1022JUD003944616,132
ECLI:CE:ECHR:2016:0705JUD004489810,131
ECLI:CE:ECHR:2011:1018JUD002608806,130
ECLI:CE:ECHR:2024:1112JUD005621119,128
ECLI:CE:ECHR:2013:0221JUD002761706,128
ECLI:CE:ECHR:2014:0917JUD001086509,125
ECLI:CE:ECHR:2013:1212JUD003954405,125
ECLI:CE:ECHR:2008:0117JUD000090305,124
ECLI:CE:ECHR:2015:0721JUD001876611,123
ECLI:CE:ECHR:2011:0920JUD001785404,122
ECLI:CE:ECHR:2013:0117JUD001240506,121
ECLI:CE:ECHR:2024:1217JUD001810204,120
ECLI:CE:ECHR:2014:0701JUD002992005,119
ECLI:CE:ECHR:2012:0726JUD000070305,117
ECLI:CE:ECHR:2018:0628JUD000182806,117
ECLI:CE:ECHR:2011:1025JUD000203304,116
ECLI:CE:ECHR:2016:1213JUD005308013,115
ECLI:CE:ECHR:2014:0415JUD002183810,113
ECLI:CE:ECHR:2022:0906JUD002006117,111
ECLI:CE:ECHR:2023:0117JUD004079210,110
ECLI:CE:ECHR:2012:1218JUD000732105,109
ECLI:CE:ECHR:2009:1015JUD002311308,109
ECLI:CE:ECHR:2024:0618JUD003794918,109
ECLI:CE:ECHR:2006:0329JUD003681397,108
ECLI:CE:ECHR:2005:0630JUD004503698,108
ECLI:CE:ECHR:2019:0718JUD001681217,107
ECLI:CE:ECHR:2017:1219JUD005608013,107
ECLI:CE:ECHR:2010:0527JUD000651804,105
ECLI:CE:ECHR:2012:0828JUD001715311,105
ECLI:CE:ECHR:2013:0425JUD002272207,104
ECLI:CE:ECHR:2012:0626JUD002682806,103
ECLI:CE:ECHR:2017:0404JUD003692507,103
ECLI:CE:ECHR:2017:0207JUD005781809,103
ECLI:CE:ECHR:2011:0920JUD001490204,102
ECLI:CE:ECHR:2010:1005JUD004746007,101
ECLI:CE:ECHR:2016:0712JUD003466107,101
ECLI:CE:ECHR:2017:1107JUD004362913,100
ECLI:CE:ECHR:2015:1208JUD004082812,98
ECLI:CE:ECHR:2020:1222JUD001430517,97
ECLI:CE:ECHR:2013:1021JUD005550807,97
ECLI:CE:ECHR:2018:0404JUD005640212,97
ECLI:CE:ECHR:2018:1106JUD005539113,97
ECLI:CE:ECHR:2014:0304JUD001864010,97
ECLI:CE:ECHR:2013:0117JUD000715804,95
ECLI:CE:ECHR:2013:0718JUD000231208,95
ECLI:CE:ECHR:2014:0612JUD001471704,93
ECLI:CE:ECHR:2021:0507JUD000490718,93
ECLI:CE:ECHR:2013:0606JUD001177003,93
ECLI:CE:ECHR:2022:1013JUD004814717,93
ECLI:CE:ECHR:2006:0608JUD007552901,92
ECLI:CE:ECHR:2016:1108JUD001803011,92
ECLI:CE:ECHR:2016:0621JUD000580908,91
ECLI:CE:ECHR:2022:0614JUD000998813,91
ECLI:CE:ECHR:2012:0607JUD003843309,90
ECLI:CE:ECHR:2011:0726JUD005822209,90
ECLI:CE:ECHR:2012:1113JUD004703911,90
ECLI:CE:ECHR:2010:0713JUD002682806,90
ECLI:CE:ECHR:2019:0827JUD004381517,88
ECLI:CE:ECHR:2016:0412JUD004362613,88
ECLI:CE:ECHR:2013:0919JUD002316009,86
ECLI:CE:ECHR:2015:1117JUD005259010,86
ECLI:CE:ECHR:2014:0701JUD004383511,86
ECLI:CE:ECHR:2024:0620JUD002534420,85
ECLI:CE:ECHR:2012:0223JUD002776509,85
ECLI:CE:ECHR:2015:0310JUD001409712,85
ECLI:CE:ECHR:2022:0315JUD002588519,85
ECLI:CE:ECHR:2018:0320JUD003768510,85
ECLI:CE:ECHR:2021:0121JUD003826308,84
ECLI:CE:ECHR:2023:0307JUD002999904,84
ECLI:CE:ECHR:2016:1215JUD001648312,83
ECLI:CE:ECHR:2023:1212JUD006988417,83
ECLI:CE:ECHR:2009:1103JUD002791202,83
ECLI:CE:ECHR:2020:0116JUD002662415,83
ECLI:CE:ECHR:2017:0627JUD003072309,83
ECLI:CE:ECHR:2022:1213JUD005963917,83
ECLI:CE:ECHR:2012:0510JUD003479609,82
ECLI:CE:ECHR:2024:0523JUD000623220,81
ECLI:CE:ECHR:2009:1126JUD002266608,81
ECLI:CE:ECHR:2014:0708JUD001501811,81
ECLI:CE:ECHR:2014:0624JUD004835707,81
ECLI:CE:ECHR:2012:0612JUD003018907,80
ECLI:CE:ECHR:2023:0627JUD003665818,80
ECLI:CE:ECHR:2016:1115JUD002413011,80
ECLI:CE:ECHR:2022:0315JUD004357218,79
ECLI:CE:ECHR:2023:0711JUD001093421,79
ECLI:CE:ECHR:2005:1110JUD004477498,78
