0
""
"Bijelic v. Montenegro and Serbia, no. 11890/05, 28 April 2009"
"Armoniene v. Lithuania, no. 36919/02, 25 November 2008"
"Skorobogatykh v. Russia, no. 4871/03, §§ 32 and 33, 22 December 2009"
"E.K. v. Turkey (dec.), no 28496/95, 28 November 2000"
"Eur. Court H.R. Soering judgment of 7 July 1989, paras. 120-124"
"Sanchez-Reisse v. Switzerland, 21 October 1986, § 55, Series A no 107"
"Zlínsat, spol. s r.o. v. Bulgaria (just satisfaction), no. 57785/00, § 44 (c), 10 January 2008"
"Rivas v. France, no 59584/00, § 38, 1 April 2004"
"Khashiyev and Akayeva v. Russia, nos. 57942/00 and 57945/00, § 121, 24 February 2005"
"Horvat v. Croatia, no. 51585/99, § 44, ECHR 2001-VIII"
"Krastanov, v. Bulgaria, no 50222/99, § 48, 30 September 2004"
"Ramsahai and Others v. the Netherlands [GC], no 52391/99, §§ 1 and 3, ECHR 2007-II"
"Leyla Sahin v. Turkey [GC] du 10 November 2005, no 44774/98, ECHR 2005-XI, § 107"
"Yumak and Sadak v. Turkey [GC], no 10226/03, § 107, ECHR 2008"
"Drozd v. Ukraine, no. 12174/03, § 49, 30 July 2009"
"Bozano v. France, 18 December 1986, § 54, Series A no. 111"
"Leela Förderkreis e.V. and Others v. Germany, no. 58911/00, § 80, 6 November 2008"
"Ciorap (no 2) v. Moldova, no 7481/06, §§ 18-26, 20 July 2010"
"Bursuc v. Romania, no 42066/98, 12 October 2004"
"Hermida Paz v. Spain (dec.), no. 4160/02, 28 January 2003"
"Çamdereli v. Turkey, no. 28433/02, 17 July 2008"
"Nevmerzhitsky, cited above, §§ 112-114"
"Église catholique de la Canée v. Greece, 16 December 1997, § 50, Reports 1997-VIII"
"Öcalan v. Turkey [GC], no 46221/99, § 90, ECHR 2005-IV"
"Santos Pinto v. Portugal, no. 39005/04, § 41, 20 May 2008"
"Eurofinacom v. France (dec.), no. 5873/00, ECHR 2004-VII (extracts)"
"Vinokurov v. Ukraine and Russia (dec.), no. 2937/04, 16 October 2007"
"Ceyhan Demir and Others v. Turkey, no. 34491/97, § 126, 13 January 2005"
"Tre Traktörer AB v. Sweden, 7 July 1989, Series A no. 159"
"Ostermünchner v. Germany, no. 36035/04, § 74, 22 March 2012"
"Leyla Sahin v. Turkey [GC], no. 44774/98, § 104, ECHR 2005-XI"
"Karhuvaara and Iltalehti v. Finland, no. 53678/00, § 38, ECHR 2004-X"
"Ergin v. Turkey (no. 6), no. 47533/99, § …, ECHR 2006-VI (extracts)"
"Koudelka v. the Czech Republic, no 1633/05, § 65, 20 July 2006"
"Maltabar and Maltabar v. Russia, no. 6954/02, 29 January 2009"
"Waite and Kennedy v. Germany [GC], no 26083/94, § 67, ECHR 1999-I"
"Maaouia v. France [GC], no. 39652/98, § 40, ECHR 2000-X"
"Wenerski v. Poland, no. 44369/02, §§ 56 to 65, 20 January 2009"
"Thynne, Wilson and Gunnell v. the United Kingdom, 25 October 1990, §§ 68 et seq., 76, Series A no. 190-A"
"Cudak v. Lithuania [GC], no 15869/02, § 59, 23 March 2010"
"Housing Association of War Disabled and Victims of War of Attica and Others v. Greece (just satisfaction), no. 35859/02, 27 September 2007"
"Lebedev v. Russia (no. 4493/04, §§ 98 et seq., 25 October 2007"
"M.D.U. v. Italy (dec.), no 58540/00, 28 January 2003"
"Walker c. the United Kingdom (dec.), nº 34979/97, ECHR 2000-I)"
"National & Provincial Building Society, Leeds Permanent Building Society and Yorkshire Building Society v. the United Kingdom, 23 October 1997, § 80, Reports 1997-VII"
"Dudgeon v. the United Kingdom, 22 October 1981, Series A no. 45"
"Güleç v. Turkey, 27 July 1998, Reports of Judgments and Decisions 1998-IV"
"Elçi and Others v. Turkey, nos. 23145/93 and 25091/94, § 604, 13 November 2003"
"Gürü Toprak v. Turkey, no. 39452/98, §§ 43 and 48, 20 February 2007"
"Ilascu and Others v. Moldova and Russia [GC], no 48787/99, ECHR 2004-VII"
"D.H. and Others v. the Czech Republic [GC], no. 57325/00, ECHR 2007-..."
"Biç and Others v. Turkey, no. 55955/00, § 20, 2 February 2006"
"Kamasinski v. Austria, 19 December 1989, § 87, Series A no. 168"
"Borgers v. Belgium, 30 October 1991, Series A no 214-B"
"Moldovan v. Romania (no 2), nos. 41138/98 and 64320/01, ECHR 2005-VII (extracts)"
"Kudla v. Poland [GC], no 30210/96, §§ 93-94, ECHR 2000-XI"
"Demir and Baykara v. Turkey [GC], no 34503/97, §§ 76 and 85, 12 November 2008"
"M.C. v. Bulgaria, no. 39272/98, § 153, ECHR 2003-XII"
"Galstyan v. Armenia, no. 26986/03, § 57, 15 November 2007"
"Orchowski v. Poland, no. 17885/04, § 123, ECHR 2009"
"Christine Goodwin v. the United Kingdom [GC], no. 28957/95, § 75, ECHR 2002-VI"
"Micallef v. Malta [GC], no. 17056/06, §§ 49-50, 15 October 2009"
"Lobo Machado v. Portugal, 20 February 1996, § 31, Reports of Judgments and Decisions 1996-I"
"De Jorio c. Italy, no 73936/01, 3 June 2004"
"Labita v. Italy [GC], no 26772/95, § 120, ECHR 2000-IV"
"Petkov and Others v. Bulgaria, nos. 77568/01, 178/02 and 505/02, § 74, ECHR 2009-..."
"Rivière v. France, no. 33834/03, § 63, 11 July 2006"
"Veeber v. Estonia (no 2), no 45771/99, § 31, ECHR 2003-I"
"Riedl-Riedenstein and Others v. Germany (dec.), no. 48662/99, 22 January 2002"
"Yildiz v. Germany (dec.), no. 40932/02, 13 October 2005"
"Voleský c. the Czech Republic, no. 63267/00, 29 June 2004"
"Makhauri v. Russia, no. 58701/00, 4 October 2007"
"Loizidou v. Turkey (just satisfaction), 28 July 1998, Reports of Judgments and Decisions 1998-IV"
"Fatullayev v. Azerbaijan, no 40984/07, §§ 176-177, 22 April 2010"
"Gavrilovici v. Moldova, no. 25464/05, §§ 25 and 42-44, 15 December 2009"
"Doronin v. Ukraine, no. 16505/02, § 55, 19 February 2009"
"Hub v. Germany, no. 1182/05, 9 April 2009"
"Salduz v. Turkey [GC], no. 36391/02, § 55, 27 November 2008"
"Gäfgen v. Germany [GC], no. 22978/05, § 116, ECHR 2010"
"Castillo Algar v. Spain, 28 October 1998, § 45, Reports of Judgments and Decisions 1998-VIII"
"Gaygusuz v. Austria, 16 September 1996, § 42, Reports of Judgments and Decisions 1996-IV,"
"Kudla v. Poland [GC], no 30210/96, ECHR 2000-XI"
"Vladimir Vasilyev v. Russia (dec.), no. 28370/05, 1 July 2010"
"Cyprus v. Turkey [GC], no. 25781/94, § 219, ECHR 2001-IV"
"Makaratzis v. Greece [GC], no 50385/99, § 69, ECHR 2004-XI"
"No. 7742/76, Dec. 4.7.78, D.R. 14, pp. 146, 168"
"Ceylan v. Turkey [GC], no 23556/94, § 34, ECHR 1999-IV"
"Wagner and J.M.W.L. v. Luxembourg, no. 76240/01, § 119, 28 June 2007"
"Kehayov v. Bulgaria, no 41035/98, § 71, 18 January 2005"
"Mooren v. Germany [GC], no. 11364/03, § 72, 9 July 2009"
"Erkalo v. the Netherlands, 2 September 1998, § 52, Reports of Judgments and Decisions 1998-VI"
"Hugh Jordan v. the United Kingdom, no. 24746/94, §§ 109 and 133, ECHR 2001-III (extracts)"
"González Marín v. Spain (dec.), no 39521/98, ECHR 1999-VII"
"Colombani and Others v. France, no. 51279/99, § 66, ECHR 2002-V"
"Olujić v. Croatia, no. 22330/05, §§ 34 and 44, 5 February 2009"
"Ntumba Kabongo v. Belgium, dec., no 52467/99, 2 June 2005"
"H.L. v. the United Kingdom, no. 45508/99, § 92, ECHR 2004-IX"
"Egmez c. Cyprus, no 30873/96, ECHR 2000-XII"
"Tyrer v. the United Kingdom, 25 April 1978, § 31, Series A no. 26"
"Belziuk v. Poland, 25 March 1998, § 49, Reports 1998-II"
"Fernandez and Others v. France, no. 28440/05, 21 January 2010"
"Micallef v. Malta [GC], no. 17056/06, §§ 93, ECHR 2009"
"Hazar and Others v. Turkey (dec.), no. 62566/00 et seq., 10 January 2002"
"Svipsta v. Latvia, no. 66820/01, §§ 108-113, ECHR 2006-III (extracts)"
"Mellors v. the United Kingdom (dec.), no. 57836/00, 30 January 2003"
"Kobtsev v. Ukraine, no. 7324/02, § 71, 4 April 2006"
"Nikolova v. Bulgaria [GC], no 31195/96, § 61, ECHR 1999-II"
