Network,Initial Nodes,Valid Nodes,Removed Nodes,Total Edges,Connected Nodes,Non-Connected Nodes,Connected Components,Biggest Component Size,Density,Doctypebranch Distribution,Importance Distribution,Importance Pre-1998,Importance Post-1998
full-unbalanced-full-unbalanced,27801,27801,0,28347,8044,19757,38,7965,0.00003668,"2: 20717, 3: 6570, 1: 514","4: 19895, 3: 5756, 2: 1083, 1: 1067","2: 419, 3: 238, 4: 179, 1: 1","4: 19716, 3: 5518, 1: 1066, 2: 664"
unbalanced-article_1,23768,23768,0,26978,7504,16264,37,7427,0.00004776,"2: 17751, 3: 5513, 1: 504","4: 16033, 3: 5614, 2: 1066, 1: 1055","2: 413, 3: 229, 4: 167, 1: 1","4: 15866, 3: 5385, 1: 1054, 2: 653"
unbalanced-article_6,15091,15091,0,10836,4039,11052,12,4010,0.00004758,"2: 11525, 3: 3327, 1: 239","4: 11617, 3: 2517, 2: 501, 1: 456","2: 205, 3: 180, 4: 154","4: 11463, 3: 2337, 1: 456, 2: 296"
unbalanced-article_3,13795,13795,0,13876,4161,9634,15,4126,0.00007292,"2: 10479, 3: 2982, 1: 334","4: 8697, 3: 3734, 2: 690, 1: 674","2: 211, 3: 111, 4: 46","4: 8651, 3: 3623, 1: 674, 2: 479"
unbalanced-article_6-1,13018,13018,0,9450,3610,9408,7,3597,0.00005577,"2: 9528, 3: 3287, 1: 203","4: 9949, 3: 2253, 2: 423, 1: 393","2: 183, 3: 160, 4: 149","4: 9800, 3: 2093, 1: 393, 2: 240"
unbalanced-article_4,11943,11943,0,19672,5625,6318,28,5569,0.00013793,"2: 10799, 3: 759, 1: 385","4: 5606, 3: 4605, 2: 875, 1: 857","2: 313, 3: 166, 4: 96, 1: 1","4: 5510, 3: 4439, 1: 856, 2: 562"
unbalanced-article_41,10100,10100,0,17392,5138,4962,17,5104,0.00017051,"2: 9721, 1: 303, 3: 76","3: 4318, 4: 4271, 2: 774, 1: 737","2: 257, 3: 150, 4: 86, 1: 1","4: 4185, 3: 4168, 1: 736, 2: 517"
unbalanced-article_5,7376,7376,0,6842,2305,5071,11,2277,0.00012578,"2: 5672, 3: 1481, 1: 223","4: 3747, 3: 2728, 2: 454, 1: 447","2: 148, 3: 80, 4: 31","4: 3716, 3: 2648, 1: 447, 2: 306"
unbalanced-article_2,7044,7044,0,9135,2856,4188,25,2784,0.00018413,"2: 6269, 3: 515, 1: 260","4: 3257, 3: 2636, 1: 578, 2: 573","2: 175, 3: 71, 4: 16, 1: 1","4: 3241, 3: 2565, 1: 577, 2: 398"
unbalanced-article_P1-1,4514,4514,0,2568,925,3589,12,895,0.00012606,"2: 3541, 3: 889, 1: 84","4: 3516, 3: 708, 2: 153, 1: 137","2: 45, 3: 18, 4: 11","4: 3505, 3: 690, 1: 137, 2: 108"
full-balanced-importance-full-balanced-importance,4268,4268,0,3657,1555,2713,34,1485,0.00020081,"2: 3430, 1: 491, 3: 347","4: 1067, 3: 1067, 2: 1067, 1: 1067","2: 411, 3: 52, 4: 8, 1: 1","1: 1066, 4: 1059, 3: 1015, 2: 656"
unbalanced-article_5-1,4238,4238,0,3753,1375,2863,7,1350,0.00020901,"2: 3279, 3: 799, 1: 160","4: 1938, 3: 1652, 2: 350, 1: 298","2: 117, 3: 57, 4: 15","4: 1923, 3: 1595, 1: 298, 2: 233"
unbalanced-article_13,3991,3991,0,1917,805,3186,11,782,0.00012038,"2: 2528, 3: 1394, 1: 69","4: 2917, 3: 694, 2: 205, 1: 175","2: 70, 3: 32, 4: 9","4: 2908, 3: 662, 1: 175, 2: 135"
balanced-importance-article_1,3987,3987,0,3602,1522,2465,33,1454,0.00022665,"2: 3215, 1: 481, 3: 291","1: 1055, 2: 1050, 3: 1038, 4: 844","2: 405, 3: 50, 4: 7, 1: 1","1: 1054, 3: 988, 4: 837, 2: 645"
unbalanced-article_8,3677,3677,0,2769,1065,2612,6,1052,0.00020486,"2: 2992, 3: 552, 1: 133","4: 1858, 3: 1225, 1: 320, 2: 274","2: 102, 3: 34, 4: 13","4: 1845, 3: 1191, 1: 320, 2: 172"
unbalanced-article_35,3632,3632,0,3993,1565,2067,11,1535,0.00030278,"2: 3436, 1: 180, 3: 16","3: 2235, 4: 718, 1: 344, 2: 335","2: 78, 3: 47, 4: 13","3: 2188, 4: 705, 1: 344, 2: 257"
unbalanced-article_3+5,3632,3632,0,3993,1565,2067,11,1535,0.00030278,"2: 3436, 1: 180, 3: 16","3: 2235, 4: 718, 1: 344, 2: 335","2: 78, 3: 47, 4: 13","3: 2188, 4: 705, 1: 344, 2: 257"
unbalanced-article_9,3579,3579,0,1604,939,2640,51,770,0.00012526,"2: 3507, 1: 48, 3: 24","4: 2684, 3: 625, 2: 160, 1: 110","2: 25, 4: 9, 3: 3","4: 2675, 3: 622, 2: 135, 1: 110"
unbalanced-article_P1-1-1,3196,3196,0,2101,725,2471,5,716,0.00020575,"2: 2265, 3: 864, 1: 67","4: 2325, 3: 628, 2: 127, 1: 116","2: 28, 3: 12, 4: 9","4: 2316, 3: 616, 1: 116, 2: 99"
unbalanced-article_8-1,3161,3161,0,2554,965,2196,7,951,0.00025569,"2: 2507, 3: 540, 1: 114","4: 1545, 3: 1112, 1: 273, 2: 231","2: 81, 3: 26, 4: 10","4: 1535, 3: 1086, 1: 273, 2: 150"
balanced-importance-article_4,2875,2875,0,2741,1214,1661,24,1164,0.00033173,"2: 2464, 1: 369, 3: 42","2: 861, 1: 857, 3: 845, 4: 312","2: 307, 3: 35, 4: 3, 1: 1","1: 856, 3: 810, 2: 554, 4: 309"
unbalanced-article_5-3,2755,2755,0,1366,628,2127,11,601,0.00018004,"2: 1999, 3: 666, 1: 90","4: 1530, 3: 945, 1: 165, 2: 115","2: 39, 3: 15, 4: 12","4: 1518, 3: 930, 1: 165, 2: 76"
balanced-importance-article_41,2533,2533,0,2322,1057,1476,19,1017,0.00036205,"2: 2235, 1: 292, 3: 6","3: 792, 2: 762, 1: 737, 4: 242","2: 253, 3: 32, 4: 3, 1: 1","3: 760, 1: 736, 2: 509, 4: 239"
unbalanced-article_29,2521,2521,0,1116,728,1793,69,354,0.00017567,"2: 2513, 1: 8","4: 1840, 3: 521, 2: 103, 1: 57",,"4: 1840, 3: 521, 2: 103, 1: 57"
unbalanced-article_29-3,2514,2514,0,982,725,1789,71,338,0.00015544,"2: 2506, 1: 8","4: 1834, 3: 520, 2: 103, 1: 57",,"4: 1834, 3: 520, 2: 103, 1: 57"
balanced-importance-article_3,2496,2496,0,1969,880,1616,8,866,0.00031618,"2: 2022, 1: 324, 3: 150","2: 682, 3: 676, 1: 674, 4: 464","2: 208, 3: 27, 4: 4","1: 674, 3: 649, 2: 474, 4: 460"
unbalanced-article_35-1,2289,2289,0,2178,930,1359,10,899,0.00041587,"2: 2158, 1: 128, 3: 3","3: 1221, 4: 591, 2: 259, 1: 218","2: 70, 3: 41, 4: 10","3: 1180, 4: 581, 1: 218, 2: 189"
balanced-importance-article_6,2022,2022,0,1152,649,1373,11,628,0.00028191,"2: 1613, 1: 225, 3: 184","4: 616, 2: 494, 3: 456, 1: 456","2: 202, 3: 37, 4: 5","4: 611, 1: 456, 3: 419, 2: 292"
unbalanced-article_7,1872,1872,0,236,194,1678,17,144,0.00006738,"2: 1521, 3: 275, 1: 76","4: 1367, 3: 306, 1: 112, 2: 87","2: 26, 3: 14, 4: 6","4: 1361, 3: 292, 1: 112, 2: 61"
balanced-importance-article_2,1792,1792,0,1321,656,1136,7,644,0.00041159,"2: 1515, 1: 256, 3: 21","1: 578, 2: 564, 3: 481, 4: 169","2: 170, 3: 17, 4: 1, 1: 1","1: 577, 3: 464, 2: 394, 4: 168"
balanced-importance-article_6-1,1748,1748,0,922,548,1200,10,526,0.00030192,"2: 1377, 1: 189, 3: 182","4: 515, 3: 423, 2: 417, 1: 393","2: 180, 3: 34, 4: 5","4: 510, 1: 393, 3: 389, 2: 237"
unbalanced-article_10,1691,1691,0,2535,631,1060,2,629,0.00088705,"2: 1279, 3: 332, 1: 80","4: 768, 3: 632, 1: 162, 2: 129","2: 55, 3: 21, 4: 4, 1: 1","4: 764, 3: 611, 1: 161, 2: 74"
balanced-importance-article_5,1598,1598,0,1058,528,1070,8,512,0.00041458,"2: 1303, 1: 219, 3: 76","3: 489, 2: 451, 1: 447, 4: 211","2: 147, 3: 19, 4: 3","3: 470, 1: 447, 2: 304, 4: 208"
full-balanced-doctypebranch-full-balanced-doctypebranch,1542,1542,0,291,242,1300,10,215,0.00012246,"2: 514, 3: 514, 1: 514","4: 854, 1: 398, 3: 162, 2: 128","2: 40, 3: 12, 1: 1","4: 854, 1: 397, 3: 150, 2: 88"
unbalanced-article_10-1,1501,1501,0,2415,574,927,2,572,0.00107262,"2: 1096, 3: 332, 1: 73","4: 656, 3: 595, 1: 137, 2: 113","2: 47, 3: 16, 4: 3, 1: 1","4: 653, 3: 579, 1: 136, 2: 66"
unbalanced-article_5-4,1439,1439,0,885,332,1107,2,330,0.00042768,"2: 940, 3: 471, 1: 28","4: 927, 3: 373, 2: 75, 1: 64","2: 36, 3: 13, 4: 5","4: 922, 3: 360, 1: 64, 2: 39"
unbalanced-article_7-1,1404,1404,0,134,112,1292,13,67,0.00006803,"2: 1284, 1: 60, 3: 60","4: 1072, 3: 200, 1: 73, 2: 59","2: 8, 3: 4, 4: 3","4: 1069, 3: 196, 1: 73, 2: 51"
balanced-doctypebranch-article_1,1369,1369,0,288,239,1130,10,212,0.00015378,"1: 504, 2: 439, 3: 426","4: 696, 1: 390, 3: 157, 2: 126","2: 38, 3: 11, 1: 1","4: 696, 1: 389, 3: 146, 2: 88"
unbalanced-article_6-3,1282,1282,0,802,384,898,4,377,0.00048836,"2: 1010, 3: 242, 1: 30","4: 719, 3: 414, 2: 81, 1: 68","2: 45, 3: 35, 4: 4","4: 715, 3: 379, 1: 68, 2: 36"
unbalanced-article_37,1254,1254,0,43,57,1197,14,16,0.00002737,"2: 1164, 3: 50, 1: 40","4: 1048, 3: 126, 1: 41, 2: 39","4: 4, 3: 1","4: 1044, 3: 125, 1: 41, 2: 39"
unbalanced-article_37-1,1241,1241,0,40,55,1186,15,8,0.00002599,"2: 1151, 3: 50, 1: 40","4: 1040, 3: 123, 1: 40, 2: 38","4: 3, 3: 1","4: 1037, 3: 122, 1: 40, 2: 38"
unbalanced-article_2-1,1222,1222,0,1580,404,818,5,387,0.00105894,"2: 940, 3: 235, 1: 47","4: 581, 3: 443, 1: 108, 2: 90","2: 13, 3: 8, 4: 1","4: 580, 3: 435, 1: 108, 2: 77"
unbalanced-article_34,1181,1181,0,626,365,816,8,351,0.00044920,"2: 1010, 3: 97, 1: 74","3: 550, 4: 365, 1: 135, 2: 131","2: 41, 3: 10, 4: 5","3: 540, 4: 360, 1: 135, 2: 90"
balanced-importance-article_35,1118,1118,0,657,387,731,7,373,0.00052610,"2: 940, 1: 178","3: 394, 1: 344, 2: 334, 4: 46","2: 78, 3: 9, 4: 2","3: 385, 1: 344, 2: 256, 4: 44"
balanced-importance-article_5-1,1038,1038,0,609,335,703,6,324,0.00056577,"2: 839, 1: 157, 3: 42","2: 348, 1: 298, 3: 287, 4: 105","2: 116, 3: 12, 4: 2","1: 298, 3: 275, 2: 232, 4: 103"
unbalanced-article_14,1030,1030,0,403,280,750,9,259,0.00038024,"2: 903, 1: 85, 3: 42","3: 388, 4: 298, 1: 175, 2: 169","2: 76, 3: 22, 4: 4","3: 366, 4: 294, 1: 175, 2: 93"
unbalanced-article_8-2,1009,1009,0,913,439,570,3,434,0.00089767,"2: 944, 1: 55, 3: 10","3: 634, 2: 142, 1: 141, 4: 92","2: 45, 3: 22, 4: 4","3: 612, 1: 141, 2: 97, 4: 88"
unbalanced-article_35-3,992,992,0,358,269,723,17,227,0.00036416,"2: 912, 1: 71, 3: 9","3: 649, 4: 160, 1: 126, 2: 57","2: 11, 3: 6, 4: 5","3: 643, 4: 155, 1: 126, 2: 46"
balanced-importance-article_8,942,942,0,442,272,670,3,268,0.00049863,"2: 778, 1: 128, 3: 36","1: 320, 2: 270, 3: 249, 4: 103","2: 99, 3: 8","1: 320, 3: 241, 2: 171, 4: 103"
unbalanced-article_10-2,886,886,0,2184,499,387,2,497,0.00278532,"2: 803, 1: 69, 3: 14","3: 529, 1: 131, 4: 128, 2: 98","2: 34, 3: 16, 1: 1","3: 513, 1: 130, 4: 128, 2: 64"
unbalanced-article_11,854,854,0,304,151,703,1,151,0.00041732,"3: 441, 2: 389, 1: 24","4: 561, 3: 195, 1: 59, 2: 39","2: 19, 3: 2","4: 561, 3: 193, 1: 59, 2: 20"
unbalanced-article_39,852,852,0,1,2,850,1,2,0.00000138,"2: 843, 1: 7, 3: 2","4: 824, 2: 14, 1: 7, 3: 7","4: 8, 2: 6","4: 816, 2: 8, 1: 7, 3: 7"
balanced-doctypebranch-article_3,833,833,0,116,104,729,7,87,0.00016737,"1: 334, 2: 256, 3: 243","4: 395, 1: 265, 3: 95, 2: 78","2: 19, 3: 2","4: 395, 1: 265, 3: 93, 2: 59"
balanced-importance-article_8-1,816,816,0,412,250,566,3,246,0.00061951,"2: 672, 1: 109, 3: 35","1: 273, 2: 228, 3: 227, 4: 88","2: 79, 3: 6","1: 273, 3: 221, 2: 149, 4: 88"
unbalanced-article_11-1,781,781,0,270,136,645,1,136,0.00044322,"3: 439, 2: 324, 1: 18","4: 514, 3: 187, 1: 52, 2: 28","2: 8, 3: 1","4: 514, 3: 186, 1: 52, 2: 20"
balanced-doctypebranch-article_6,772,772,0,117,105,667,4,97,0.00019657,"2: 273, 3: 260, 1: 239","4: 461, 1: 182, 3: 66, 2: 63","2: 22, 3: 7","4: 461, 1: 182, 3: 59, 2: 41"
balanced-importance-article_35-1,724,724,0,346,231,493,6,220,0.00066100,"2: 598, 1: 126","2: 258, 1: 218, 3: 209, 4: 39","2: 70, 3: 7, 4: 2","1: 218, 3: 202, 2: 188, 4: 37"
balanced-doctypebranch-article_4,705,705,0,208,175,530,11,147,0.00041908,"1: 385, 2: 258, 3: 62","1: 304, 4: 187, 3: 121, 2: 93","2: 29, 3: 10, 1: 1","1: 303, 4: 187, 3: 111, 2: 64"
unbalanced-article_6-2,704,704,0,558,264,440,5,254,0.00112747,"2: 614, 1: 66, 3: 24","3: 349, 4: 136, 2: 112, 1: 107","2: 40, 3: 7, 4: 5","3: 342, 4: 131, 1: 107, 2: 72"
balanced-doctypebranch-article_6-1,676,676,0,110,102,574,4,94,0.00024107,"3: 254, 2: 219, 1: 203","4: 407, 1: 156, 3: 62, 2: 51","2: 16, 3: 7","4: 407, 1: 156, 3: 55, 2: 35"
unbalanced-article_6-3-c,664,664,0,319,182,482,2,179,0.00072462,"2: 512, 3: 134, 1: 18","4: 383, 3: 205, 2: 45, 1: 31","2: 21, 3: 21","4: 383, 3: 184, 1: 31, 2: 24"
balanced-importance-article_13,651,651,0,310,189,462,4,183,0.00073260,"2: 515, 3: 68, 1: 68","2: 202, 1: 175, 4: 153, 3: 121","2: 68, 3: 6","1: 175, 4: 153, 2: 134, 3: 115"
balanced-importance-article_P1-1,596,596,0,304,175,421,7,163,0.00085726,"2: 475, 1: 82, 3: 39","4: 176, 2: 152, 1: 137, 3: 131","2: 45, 3: 3, 4: 1","4: 175, 1: 137, 3: 128, 2: 107"
unbalanced-article_3+8,594,594,0,2,3,591,1,3,0.00000568,"2: 578, 1: 11, 3: 5","4: 501, 3: 53, 1: 22, 2: 18","2: 3, 4: 1","4: 500, 3: 53, 1: 22, 2: 15"
unbalanced-article_38,594,594,0,2,3,591,1,3,0.00000568,"2: 578, 1: 11, 3: 5","4: 501, 3: 53, 1: 22, 2: 18","2: 3, 4: 1","4: 500, 3: 53, 1: 22, 2: 15"
