Correlation,Centrality,Ground Truth
0.46877434685772756,degree_centrality,importance
0.25484799709427297,degree_centrality,doctypebranch
0.32879160826522474,in_degree_centrality,importance
0.2980948653708564,in_degree_centrality,doctypebranch
0.3573260687562099,out_degree_centrality,importance
0.2400759425711217,out_degree_centrality,doctypebranch
0.31039287080242495,betweenness_centrality,importance
0.5295516826921758,betweenness_centrality,doctypebranch
0.331725643309023,closeness_centrality,importance
0.3053811909138153,closeness_centrality,doctypebranch
0.4543506441556183,core_number,importance
0.2416050539311116,core_number,doctypebranch
0.32879160826522474,relative_in_degree_centrality,importance
0.2980948653708564,relative_in_degree_centrality,doctypebranch
0.330588807752381,eigenvector_centrality,importance
0.30308509173401216,eigenvector_centrality,doctypebranch
0.32803546936226047,pagerank,importance
0.2947107074125188,pagerank,doctypebranch
0.3321249021985155,hits_hub,importance
0.28041586601469076,hits_hub,doctypebranch
0.24206535066054308,hits_authority,importance
0.2029178537432889,hits_authority,doctypebranch
0.3319288445336652,harmonic_centrality,importance
0.30538185849175264,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.31039287080242495,composite,importance
0.5295516826921758,composite,doctypebranch
