Correlation,Centrality,Ground Truth
0.40033108395984157,degree_centrality,importance
0.18635818200339888,degree_centrality,doctypebranch
0.19553029529100582,in_degree_centrality,importance
0.1183472363638572,in_degree_centrality,doctypebranch
0.38351861219952554,out_degree_centrality,importance
0.11062110946286326,out_degree_centrality,doctypebranch
0.2208294840669557,betweenness_centrality,importance
0.10741333941903135,betweenness_centrality,doctypebranch
0.18615062600010251,closeness_centrality,importance
0.11803728677941912,closeness_centrality,doctypebranch
0.38693642676249834,core_number,importance
0.16778685992134176,core_number,doctypebranch
0.19553029529100582,relative_in_degree_centrality,importance
0.1183472363638572,relative_in_degree_centrality,doctypebranch
0.17524681765023267,eigenvector_centrality,importance
0.11629277408898755,eigenvector_centrality,doctypebranch
0.20190929356207857,pagerank,importance
0.11790295729219222,pagerank,doctypebranch
0.3043474791795114,hits_hub,importance
0.11576653666696272,hits_hub,doctypebranch
0.14884388646412325,hits_authority,importance
0.11261168891368822,hits_authority,doctypebranch
0.186461503078805,harmonic_centrality,importance
0.11891827307995001,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.40033108395984157,composite,importance
0.18635818200339888,composite,doctypebranch
