Correlation,Centrality,Ground Truth
0.4038472380433941,degree_centrality,importance
0.2027142266049845,degree_centrality,doctypebranch
0.1951101182272285,in_degree_centrality,importance
0.16299760904439142,in_degree_centrality,doctypebranch
0.3972411829434651,out_degree_centrality,importance
0.1528066364762735,out_degree_centrality,doctypebranch
0.2659038136073031,betweenness_centrality,importance
0.19730921698699164,betweenness_centrality,doctypebranch
0.19410989864439945,closeness_centrality,importance
0.15015760258372815,closeness_centrality,doctypebranch
0.39337706293842994,core_number,importance
0.19309937550216605,core_number,doctypebranch
0.1951101182272285,relative_in_degree_centrality,importance
0.16299760904439142,relative_in_degree_centrality,doctypebranch
0.18732941876635972,eigenvector_centrality,importance
0.1371234446011126,eigenvector_centrality,doctypebranch
0.21443416802170326,pagerank,importance
0.15724136361770133,pagerank,doctypebranch
0.3461575191218471,hits_hub,importance
0.1637238800313905,hits_hub,doctypebranch
0.12551080828282551,hits_authority,importance
0.12050531822871376,hits_authority,doctypebranch
0.1953066251398169,harmonic_centrality,importance
0.15100064081285577,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.40619838817869625,composite,importance
0.20412456079124153,composite,doctypebranch
