Correlation,Centrality,Ground Truth
0.25382537521881005,degree_centrality,importance
0.05250611612542335,degree_centrality,doctypebranch
0.14530111820765787,in_degree_centrality,importance
0.03574330992526396,in_degree_centrality,doctypebranch
0.20027991969163655,out_degree_centrality,importance
0.03574330992526396,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.14530111820765787,closeness_centrality,importance
0.03574330992526396,closeness_centrality,doctypebranch
0.25382537521881005,core_number,importance
0.05250611612542335,core_number,doctypebranch
0.14530111820765787,relative_in_degree_centrality,importance
0.03574330992526396,relative_in_degree_centrality,doctypebranch
0.14530111820765787,eigenvector_centrality,importance
0.03574330992526396,eigenvector_centrality,doctypebranch
0.14530111820765787,pagerank,importance
0.03574330992526396,pagerank,doctypebranch
0.06671068568360501,hits_hub,importance
0.011905640452558737,hits_hub,doctypebranch
-0.05406934770868695,hits_authority,importance
-0.014180524811509757,hits_authority,doctypebranch
0.14530111820765787,harmonic_centrality,importance
0.03574330992526396,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.25382537521881005,composite,importance
0.05250611612542335,composite,doctypebranch
