Correlation,Centrality,Ground Truth
0.41030388274838214,degree_centrality,importance
0.403075454201054,degree_centrality,doctypebranch
0.27250472941327575,in_degree_centrality,importance
0.34772140519324674,in_degree_centrality,doctypebranch
0.24959962446558995,out_degree_centrality,importance
0.08644405665865859,out_degree_centrality,doctypebranch
0.19854118439514704,betweenness_centrality,importance
0.044326250347887064,betweenness_centrality,doctypebranch
0.30199354331892386,closeness_centrality,importance
0.3469343225876919,closeness_centrality,doctypebranch
0.38415119298030426,core_number,importance
0.3835344255958087,core_number,doctypebranch
0.27250472941327575,relative_in_degree_centrality,importance
0.34772140519324674,relative_in_degree_centrality,doctypebranch
0.3088717017694217,eigenvector_centrality,importance
0.3468969756558234,eigenvector_centrality,doctypebranch
0.328969147674122,pagerank,importance
0.3465986337596039,pagerank,doctypebranch
0.25687914590704297,hits_hub,importance
0.08151908655859105,hits_hub,doctypebranch
0.2005542413505843,hits_authority,importance
0.35040558556760715,hits_authority,doctypebranch
0.3050206443442532,harmonic_centrality,importance
0.3470464357987579,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.41030388274838214,composite,importance
0.403075454201054,composite,doctypebranch
