Correlation,Centrality,Ground Truth
0.6294318272346497,degree_centrality,importance
,degree_centrality,doctypebranch
0.3024787429893794,in_degree_centrality,importance
,in_degree_centrality,doctypebranch
0.491379588637149,out_degree_centrality,importance
,out_degree_centrality,doctypebranch
0.20368568756843547,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.3032911230233908,closeness_centrality,importance
,closeness_centrality,doctypebranch
0.5643975816894992,core_number,importance
,core_number,doctypebranch
0.3024787429893794,relative_in_degree_centrality,importance
,relative_in_degree_centrality,doctypebranch
0.30166012513387314,eigenvector_centrality,importance
,eigenvector_centrality,doctypebranch
0.3111779081620206,pagerank,importance
,pagerank,doctypebranch
0.4888751851922568,hits_hub,importance
,hits_hub,doctypebranch
0.28071295882332115,hits_authority,importance
,hits_authority,doctypebranch
0.30448434484943665,harmonic_centrality,importance
,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.6294318272346497,composite,importance
,composite,doctypebranch
