Correlation,Centrality,Ground Truth
0.09514987095307503,degree_centrality,importance
,degree_centrality,doctypebranch
0.06382847385042255,in_degree_centrality,importance
,in_degree_centrality,doctypebranch
0.06382847385042255,out_degree_centrality,importance
,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.06382847385042255,closeness_centrality,importance
,closeness_centrality,doctypebranch
0.09514987095307503,core_number,importance
,core_number,doctypebranch
0.06382847385042255,relative_in_degree_centrality,importance
,relative_in_degree_centrality,doctypebranch
0.06382847385042255,eigenvector_centrality,importance
,eigenvector_centrality,doctypebranch
0.06382847385042255,pagerank,importance
,pagerank,doctypebranch
0.06382847385042255,hits_hub,importance
,hits_hub,doctypebranch
0.4016632088371218,hits_authority,importance
,hits_authority,doctypebranch
0.06382847385042255,harmonic_centrality,importance
,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.06382847385042255,composite,importance
,composite,doctypebranch
