Correlation,Centrality,Ground Truth
0.3467665821439469,degree_centrality,importance
,degree_centrality,doctypebranch
0.22894962173572006,in_degree_centrality,importance
,in_degree_centrality,doctypebranch
0.23532735597433965,out_degree_centrality,importance
,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.22894962173572006,closeness_centrality,importance
,closeness_centrality,doctypebranch
0.3584620841727528,core_number,importance
,core_number,doctypebranch
0.22894962173572006,relative_in_degree_centrality,importance
,relative_in_degree_centrality,doctypebranch
0.2288832883657241,eigenvector_centrality,importance
,eigenvector_centrality,doctypebranch
0.22273511899867943,pagerank,importance
,pagerank,doctypebranch
0.21163306402946627,hits_hub,importance
,hits_hub,doctypebranch
0.05045278778703705,hits_authority,importance
,hits_authority,doctypebranch
0.22894962173572006,harmonic_centrality,importance
,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.22894962173572006,composite,importance
,composite,doctypebranch
