Correlation,Centrality,Ground Truth
0.7724293757795713,degree_centrality,importance
0.13595335990527832,degree_centrality,doctypebranch
0.360174738524069,in_degree_centrality,importance
0.16762915254983424,in_degree_centrality,doctypebranch
0.7015423875913344,out_degree_centrality,importance
0.07699304020880506,out_degree_centrality,doctypebranch
0.32431822647598574,betweenness_centrality,importance
0.2666774235125181,betweenness_centrality,doctypebranch
0.35996584710138474,closeness_centrality,importance
0.16753193226086288,closeness_centrality,doctypebranch
0.7753364123164921,core_number,importance
0.1006168379246731,core_number,doctypebranch
0.360174738524069,relative_in_degree_centrality,importance
0.16762915254983424,relative_in_degree_centrality,doctypebranch
0.35866675775817103,eigenvector_centrality,importance
0.1619241688379051,eigenvector_centrality,doctypebranch
0.3585114740632463,pagerank,importance
0.16737673103040102,pagerank,doctypebranch
0.6484796571386832,hits_hub,importance
0.061184682838951794,hits_hub,doctypebranch
0.3094611896767388,hits_authority,importance
0.21872619496838147,hits_authority,doctypebranch
0.3599908948832306,harmonic_centrality,importance
0.1675435897648324,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.7753364123164921,composite,importance
0.1006168379246731,composite,doctypebranch
