Correlation,Centrality,Ground Truth
0.6139597552117515,degree_centrality,importance
0.38077191563605506,degree_centrality,doctypebranch
0.40344004937601063,in_degree_centrality,importance
0.2834336446331334,in_degree_centrality,doctypebranch
0.4452663869591835,out_degree_centrality,importance
0.2379215295137131,out_degree_centrality,doctypebranch
0.1515801560546593,betweenness_centrality,importance
0.07942767192338825,betweenness_centrality,doctypebranch
0.40356240224523804,closeness_centrality,importance
0.2827276296265551,closeness_centrality,doctypebranch
0.6134864838965335,core_number,importance
0.3817001769727299,core_number,doctypebranch
0.40344004937601063,relative_in_degree_centrality,importance
0.2834336446331334,relative_in_degree_centrality,doctypebranch
0.4025268109568931,eigenvector_centrality,importance
0.28166559037247685,eigenvector_centrality,doctypebranch
0.40027850583148206,pagerank,importance
0.2808502427287339,pagerank,doctypebranch
0.04725636743948876,hits_hub,importance
0.046051217130031824,hits_hub,doctypebranch
-0.01361971605746732,hits_authority,importance
0.011004695641306331,hits_authority,doctypebranch
0.4033837805380383,harmonic_centrality,importance
0.2825813305499218,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.6141831464911648,composite,importance
0.3809954632623855,composite,doctypebranch
