Correlation,Centrality,Ground Truth
0.5937710859953544,degree_centrality,importance
0.7012102425063428,degree_centrality,doctypebranch
0.5020790110464023,in_degree_centrality,importance
0.5929270612815711,in_degree_centrality,doctypebranch
0.2111111111111111,out_degree_centrality,importance
0.19245008972987526,out_degree_centrality,doctypebranch
0.3849001794597504,betweenness_centrality,importance
0.6666666666666666,betweenness_centrality,doctypebranch
0.53217020604796,closeness_centrality,importance
0.5883484054145521,closeness_centrality,doctypebranch
0.5773502691896256,core_number,importance
0.25,core_number,doctypebranch
0.5020790110464023,relative_in_degree_centrality,importance
0.5929270612815711,relative_in_degree_centrality,doctypebranch
0.6001068280966357,eigenvector_centrality,importance
0.5883484054145521,eigenvector_centrality,doctypebranch
0.4642335839992842,pagerank,importance
0.5883484054145521,pagerank,doctypebranch
0.24730968341474896,hits_hub,importance
0.4283529368781194,hits_hub,doctypebranch
0.336804839632687,hits_authority,importance
0.0,hits_authority,doctypebranch
0.53217020604796,harmonic_centrality,importance
0.5883484054145521,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.6970096920578011,composite,importance
0.7207499701564472,composite,doctypebranch
