Correlation,Centrality,Ground Truth
0.6568080781352795,degree_centrality,importance
0.5761715753232942,degree_centrality,doctypebranch
0.6709313001521165,in_degree_centrality,importance
0.7444444444444447,in_degree_centrality,doctypebranch
0.19170309940322303,out_degree_centrality,importance
0.10833520766109864,out_degree_centrality,doctypebranch
0.2174065891365761,betweenness_centrality,importance
0.4860555523805896,betweenness_centrality,doctypebranch
0.6695378795407271,closeness_centrality,importance
0.7151782607678769,closeness_centrality,doctypebranch
0.6067033396213443,core_number,importance
0.521032013387238,core_number,doctypebranch
0.6709313001521165,relative_in_degree_centrality,importance
0.7444444444444447,relative_in_degree_centrality,doctypebranch
0.6695378795407271,eigenvector_centrality,importance
0.7151782607678769,eigenvector_centrality,doctypebranch
0.6664945255428147,pagerank,importance
0.7151782607678769,pagerank,doctypebranch
0.1939354487042521,hits_hub,importance
0.1613943202686733,hits_hub,doctypebranch
0.1884093506057009,hits_authority,importance
0.11059361747276661,hits_authority,doctypebranch
0.6695378795407271,harmonic_centrality,importance
0.7151782607678769,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.6709313001521165,composite,importance
0.7444444444444447,composite,doctypebranch
