Correlation,Centrality,Ground Truth
0.6661529028102187,degree_centrality,importance
0.37198399565472684,degree_centrality,doctypebranch
0.495558504409436,in_degree_centrality,importance
0.3339401667745627,in_degree_centrality,doctypebranch
0.4941058844013092,out_degree_centrality,importance
0.168700389532957,out_degree_centrality,doctypebranch
0.4609772228646443,betweenness_centrality,importance
0.11572751247156893,betweenness_centrality,doctypebranch
0.48779520542595356,closeness_centrality,importance
0.33309152457221414,closeness_centrality,doctypebranch
0.6299407883487119,core_number,importance
0.3763863263545405,core_number,doctypebranch
0.495558504409436,relative_in_degree_centrality,importance
0.3339401667745627,relative_in_degree_centrality,doctypebranch
0.48779520542595356,eigenvector_centrality,importance
0.33309152457221414,eigenvector_centrality,doctypebranch
0.48779520542595356,pagerank,importance
0.33309152457221414,pagerank,doctypebranch
0.4941058844013092,hits_hub,importance
0.168700389532957,hits_hub,doctypebranch
0.5996299722127242,hits_authority,importance
0.3633308095942309,hits_authority,doctypebranch
0.48779520542595356,harmonic_centrality,importance
0.33309152457221414,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.6661529028102187,composite,importance
0.37198399565472684,composite,doctypebranch
