Correlation,Centrality,Ground Truth
0.1543419074705267,degree_centrality,importance
0.1317671920749534,degree_centrality,doctypebranch
0.30491120007653844,in_degree_centrality,importance
0.30383735449023974,in_degree_centrality,doctypebranch
-0.18497599667242,out_degree_centrality,importance
-0.2121698449152039,out_degree_centrality,doctypebranch
-0.06421738978179624,betweenness_centrality,importance
-0.04225025498425267,betweenness_centrality,doctypebranch
0.30423606924530383,closeness_centrality,importance
0.30388132576175714,closeness_centrality,doctypebranch
0.15876343976062937,core_number,importance
0.1404892791665868,core_number,doctypebranch
0.30491120007653844,relative_in_degree_centrality,importance
0.30383735449023974,relative_in_degree_centrality,doctypebranch
0.3038856905899137,eigenvector_centrality,importance
0.30388132576175714,eigenvector_centrality,doctypebranch
0.3008406329149423,pagerank,importance
0.30005838445294347,pagerank,doctypebranch
-0.11255919164224447,hits_hub,importance
-0.12376436041961976,hits_hub,doctypebranch
0.13431023709899112,hits_authority,importance
0.1844049360105164,hits_authority,doctypebranch
0.30423606924530383,harmonic_centrality,importance
0.30388132576175714,harmonic_centrality,doctypebranch
0.30646589025838095,disruption,importance
0.30466284299041274,disruption,doctypebranch
0.30553091881033695,composite,importance
0.3048676007998933,composite,doctypebranch
