Correlation,Centrality,Ground Truth
0.032904707041158235,degree_centrality,importance
-0.041960654935017966,degree_centrality,doctypebranch
-0.07583665611625419,in_degree_centrality,importance
-0.06689591391552036,in_degree_centrality,doctypebranch
0.12173779008135543,out_degree_centrality,importance
0.008361989239440044,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
-0.07583665611625419,closeness_centrality,importance
-0.06689591391552036,closeness_centrality,doctypebranch
0.032904707041158235,core_number,importance
-0.041960654935017966,core_number,doctypebranch
-0.07583665611625419,relative_in_degree_centrality,importance
-0.06689591391552036,relative_in_degree_centrality,doctypebranch
-0.07583665611625419,eigenvector_centrality,importance
-0.06689591391552036,eigenvector_centrality,doctypebranch
-0.07583665611625419,pagerank,importance
-0.06689591391552036,pagerank,doctypebranch
0.12028283919999758,hits_hub,importance
0.006490967226180421,hits_hub,doctypebranch
0.11349559726427409,hits_authority,importance
0.12499782496184207,hits_authority,doctypebranch
-0.07583665611625419,harmonic_centrality,importance
-0.06689591391552036,harmonic_centrality,doctypebranch
-0.07583665611625419,disruption,importance
-0.06689591391552036,disruption,doctypebranch
0.11349559726427409,composite,importance
0.12499782496184207,composite,doctypebranch
