Correlation,Centrality,Ground Truth
0.183734979124555,degree_centrality,importance
0.24728917872545997,degree_centrality,doctypebranch
0.3504106503894037,in_degree_centrality,importance
0.31209083430513856,in_degree_centrality,doctypebranch
-0.15087256200196525,out_degree_centrality,importance
-0.014168671276191189,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.3504106503894037,closeness_centrality,importance
0.31209083430513856,closeness_centrality,doctypebranch
0.19792775478877347,core_number,importance
0.24446978913613376,core_number,doctypebranch
0.3504106503894037,relative_in_degree_centrality,importance
0.31209083430513856,relative_in_degree_centrality,doctypebranch
0.3504106503894037,eigenvector_centrality,importance
0.31209083430513856,eigenvector_centrality,doctypebranch
0.3511842242195048,pagerank,importance
0.3086274308171772,pagerank,doctypebranch
-0.09917351837480183,hits_hub,importance
-0.004722693740735848,hits_hub,doctypebranch
0.06339125977983438,hits_authority,importance
0.13790769806390638,hits_authority,doctypebranch
0.3504106503894037,harmonic_centrality,importance
0.31209083430513856,harmonic_centrality,doctypebranch
0.3482791171425263,disruption,importance
0.30082798307136566,disruption,doctypebranch
0.3511842242195048,composite,importance
0.3093253630329621,composite,doctypebranch
