Correlation,Centrality,Ground Truth
0.12830396993958526,degree_centrality,importance
0.22488579168946335,degree_centrality,doctypebranch
0.40817405031192416,in_degree_centrality,importance
0.373174462674648,in_degree_centrality,doctypebranch
-0.30231280900364643,out_degree_centrality,importance
-0.12429892295683316,out_degree_centrality,doctypebranch
-0.05577919921276186,betweenness_centrality,importance
-0.00637887051920959,betweenness_centrality,doctypebranch
0.4077102258105352,closeness_centrality,importance
0.36560446242287875,closeness_centrality,doctypebranch
0.13269480879527737,core_number,importance
0.23042073171644067,core_number,doctypebranch
0.40817405031192416,relative_in_degree_centrality,importance
0.373174462674648,relative_in_degree_centrality,doctypebranch
0.3975317807754997,eigenvector_centrality,importance
0.3414810232244706,eigenvector_centrality,doctypebranch
0.40205051121674534,pagerank,importance
0.35312881240017513,pagerank,doctypebranch
-0.30458267294539226,hits_hub,importance
-0.11446893099017816,hits_hub,doctypebranch
0.32030899663848444,hits_authority,importance
0.289996103744191,hits_authority,doctypebranch
0.40689215944251755,harmonic_centrality,importance
0.3634621364474639,harmonic_centrality,doctypebranch
0.43132978232345975,disruption,importance
0.3533801598425404,disruption,doctypebranch
0.4460436137045932,composite,importance
0.3873881787822332,composite,doctypebranch
