Correlation,Centrality,Ground Truth
0.20419028302832226,degree_centrality,importance
0.2684552660814584,degree_centrality,doctypebranch
0.376361325632289,in_degree_centrality,importance
0.328526232698483,in_degree_centrality,doctypebranch
-0.20066035919867084,out_degree_centrality,importance
-0.023027640339752662,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.376361325632289,closeness_centrality,importance
0.328526232698483,closeness_centrality,doctypebranch
0.2159965275295287,core_number,importance
0.2829931810410701,core_number,doctypebranch
0.376361325632289,relative_in_degree_centrality,importance
0.328526232698483,relative_in_degree_centrality,doctypebranch
0.376361325632289,eigenvector_centrality,importance
0.328526232698483,eigenvector_centrality,doctypebranch
0.3817726006833763,pagerank,importance
0.31757190418331893,pagerank,doctypebranch
-0.20066035919867084,hits_hub,importance
-0.023027640339752662,hits_hub,doctypebranch
0.13168988421268815,hits_authority,importance
0.2122724261610742,hits_authority,doctypebranch
0.376361325632289,harmonic_centrality,importance
0.328526232698483,harmonic_centrality,doctypebranch
0.374405944168505,disruption,importance
0.331830946919707,disruption,doctypebranch
0.376361325632289,composite,importance
0.328526232698483,composite,doctypebranch
