Correlation,Centrality,Ground Truth
0.23607598936874294,degree_centrality,importance
0.15386404445651225,degree_centrality,doctypebranch
0.37732528240208535,in_degree_centrality,importance
0.18433139690350236,in_degree_centrality,doctypebranch
-0.14131528793415307,out_degree_centrality,importance
-0.0068781042986245065,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.37732528240208535,closeness_centrality,importance
0.18433139690350236,closeness_centrality,doctypebranch
0.24571398475342537,core_number,importance
0.148773744244113,core_number,doctypebranch
0.37732528240208535,relative_in_degree_centrality,importance
0.18433139690350236,relative_in_degree_centrality,doctypebranch
0.37732528240208535,eigenvector_centrality,importance
0.18433139690350236,eigenvector_centrality,doctypebranch
0.37866456226651873,pagerank,importance
0.18195690041538476,pagerank,doctypebranch
-0.07065531045285119,hits_hub,importance
-0.003438938572398822,hits_hub,doctypebranch
0.19150670608466472,hits_authority,importance
0.1692103395055672,hits_authority,doctypebranch
0.37732528240208535,harmonic_centrality,importance
0.18433139690350236,harmonic_centrality,doctypebranch
0.37601189101754623,disruption,importance
0.17603069656056147,disruption,doctypebranch
0.37732528240208535,composite,importance
0.18433139690350236,composite,doctypebranch
