Correlation,Centrality,Ground Truth
0.15309254114752946,degree_centrality,importance
0.20714035748335968,degree_centrality,doctypebranch
0.27343781004002715,in_degree_centrality,importance
0.3316158044311212,in_degree_centrality,doctypebranch
-0.08389377528817708,out_degree_centrality,importance
-0.0703779620524742,out_degree_centrality,doctypebranch
0.016433032476354643,betweenness_centrality,importance
0.043128202443547196,betweenness_centrality,doctypebranch
0.27314974012696297,closeness_centrality,importance
0.3297898117131061,closeness_centrality,doctypebranch
0.15466146689206806,core_number,importance
0.21217965738122993,core_number,doctypebranch
0.27343781004002715,relative_in_degree_centrality,importance
0.3316158044311212,relative_in_degree_centrality,doctypebranch
0.2727845175929874,eigenvector_centrality,importance
0.3273301035642719,eigenvector_centrality,doctypebranch
0.27015613663627064,pagerank,importance
0.3208736922218325,pagerank,doctypebranch
-0.006537478847618733,hits_hub,importance
-0.08080503059620169,hits_hub,doctypebranch
0.16202180666177748,hits_authority,importance
0.2308489233740374,hits_authority,doctypebranch
0.2731700914208527,harmonic_centrality,importance
0.3297898341691303,harmonic_centrality,doctypebranch
0.2815477212245214,disruption,importance
0.3362139940834849,disruption,doctypebranch
0.28467175767730357,composite,importance
0.34530795830612426,composite,doctypebranch
