Correlation,Centrality,Ground Truth
0.11968335088465398,degree_centrality,importance
0.15462421854976918,degree_centrality,doctypebranch
0.25374150514028576,in_degree_centrality,importance
0.2901533816084887,in_degree_centrality,doctypebranch
-0.1281771494803297,out_degree_centrality,importance
-0.145098611387076,out_degree_centrality,doctypebranch
0.014545909126217985,betweenness_centrality,importance
-0.04626787683080683,betweenness_centrality,doctypebranch
0.25777956218812514,closeness_centrality,importance
0.2850272098721543,closeness_centrality,doctypebranch
0.12662101423685862,core_number,importance
0.15955245137328733,core_number,doctypebranch
0.25374150514028576,relative_in_degree_centrality,importance
0.2901533816084887,relative_in_degree_centrality,doctypebranch
0.25778148269862955,eigenvector_centrality,importance
0.281947935184474,eigenvector_centrality,doctypebranch
0.26592687471251863,pagerank,importance
0.3140800483206347,pagerank,doctypebranch
-0.06586942144895666,hits_hub,importance
-0.0806033261005349,hits_hub,doctypebranch
0.2122798902165009,hits_authority,importance
0.24490988191937182,hits_authority,doctypebranch
0.257794927474156,harmonic_centrality,importance
0.2835034198340395,harmonic_centrality,doctypebranch
0.2427113793053135,disruption,importance
0.2836385300109345,disruption,doctypebranch
0.2693682747109128,composite,importance
0.30640082953528913,composite,doctypebranch
