combination,times_selected
degree_centrality+core_number,19
hits_hub+degree_centrality,2
pagerank+core_number,1
degree_centrality+in_degree_centrality,10
betweenness_centrality+harmonic_centrality,2
hits_authority+core_number,2
out_degree_centrality+hits_hub,1
degree_centrality+pagerank,1
betweenness_centrality+degree_centrality,1
degree_centrality+betweenness_centrality,2
in_degree_centrality+relative_in_degree_centrality,1
core_number+degree_centrality,7
betweenness_centrality+in_degree_centrality,1
hits_authority+out_degree_centrality,1
degree_centrality+hits_hub,1
hits_authority+degree_centrality,2
betweenness_centrality+hits_authority,1
hits_authority+hits_hub,1
hits_hub+out_degree_centrality,1
out_degree_centrality+core_number,1
betweenness_centrality+eigenvector_centrality,1
