Centrality Measure,Unbalanced - Importance,Unbalanced - Doctypebranch,Balanced(Importance) - Importance,Balanced(Importance) - Doctypebranch,Balanced(Doctypebranch) - Importance,Balanced(Doctypebranch) - Doctypebranch
betweenness_centrality,-0.4434,-0.3637,-0.373,-0.3608,-0.58,-0.581
closeness_centrality,-0.4432,-0.4467,-0.4993,-0.4163,-0.6424,-0.6814
composite,-0.4809,-0.4532,-0.5254,-0.4752,-0.724,-0.741
core_number,-0.4781,-0.2053,-0.4558,-0.3809,-0.6804,-0.6074
degree_centrality,-0.4869,-0.2228,-0.4754,-0.3992,-0.6856,-0.6193
disruption,0.266,0.1609,0.214,0.2103,0.3711,0.3607
eigenvector_centrality,-0.443,-0.4464,-0.5017,-0.4181,-0.6461,-0.6847
harmonic_centrality,-0.4477,-0.448,-0.505,-0.423,-0.6498,-0.6873
hits_authority,-0.4156,-0.4163,-0.4768,-0.438,-0.6431,-0.6734
hits_hub,-0.1952,-0.0122,-0.1233,-0.1157,-0.2734,-0.2049
in_degree_centrality,-0.468,-0.4462,-0.5099,-0.4491,-0.6797,-0.7023
out_degree_centrality,-0.3495,-0.0628,-0.2218,-0.2029,-0.4155,-0.3234
pagerank,-0.4551,-0.4411,-0.5253,-0.4373,-0.6696,-0.6978
relative_in_degree_centrality,-0.468,-0.4462,-0.5099,-0.4491,-0.6797,-0.7023
