Centrality Measure,Unbalanced - Importance,Unbalanced - Doctypebranch,Balanced(Importance) - Importance,Balanced(Importance) - Doctypebranch,Balanced(Doctypebranch) - Importance,Balanced(Doctypebranch) - Doctypebranch
betweenness_centrality,-0.3993,-0.4036,-0.3813,-0.3593,-0.5728,-0.5838
closeness_centrality,-0.4584,-0.4806,-0.4997,-0.4159,-0.6314,-0.6811
composite,-0.4636,-0.4916,-0.5242,-0.4747,-0.7162,-0.7443
core_number,-0.4253,-0.3914,-0.451,-0.3725,-0.6774,-0.6204
degree_centrality,-0.4592,-0.4122,-0.4704,-0.3897,-0.6859,-0.6316
disruption,0.1818,0.1945,0.2211,0.2152,0.369,0.3716
eigenvector_centrality,-0.4577,-0.4813,-0.5008,-0.4182,-0.6331,-0.6826
harmonic_centrality,-0.4618,-0.4826,-0.505,-0.4226,-0.6394,-0.6871
hits_authority,-0.4286,-0.4549,-0.4753,-0.4338,-0.6347,-0.672
hits_hub,-0.3048,-0.2532,-0.111,-0.1001,-0.2638,-0.1967
in_degree_centrality,-0.4603,-0.4843,-0.5103,-0.4487,-0.6713,-0.7038
out_degree_centrality,-0.2399,-0.2226,-0.2169,-0.1923,-0.4182,-0.3359
pagerank,-0.4559,-0.4788,-0.5244,-0.4381,-0.6568,-0.7001
relative_in_degree_centrality,-0.4603,-0.4843,-0.5103,-0.4487,-0.6713,-0.7038
