Network,Initial Nodes,Valid Nodes,Removed Nodes,Total Edges,Connected Nodes,Non-Connected Nodes,Connected Components,Biggest Component Size,Density,Doctypebranch Distribution,Importance Distribution,Importance Pre-1998,Importance Post-1998
article_41,3595,3595,0,25685,3230,365,13,3206,0.00198794,"2: 3288, 1: 295, 3: 12","2: 1616, 1: 1511, 3: 468","1: 258, 2: 70, 3: 7","2: 1546, 1: 1253, 3: 461"
article_6,2987,2987,0,11460,2392,595,6,2380,0.00128487,"2: 2412, 3: 383, 1: 192","3: 1243, 2: 894, 1: 850","1: 192, 2: 72, 3: 13","3: 1230, 2: 822, 1: 658"
article_35,1585,1585,0,8179,1437,148,4,1429,0.00325774,"2: 1405, 1: 178, 3: 2","2: 823, 1: 679, 3: 83","1: 78, 2: 19, 3: 2","2: 804, 1: 601, 3: 81"
article_8,1126,1126,0,6375,1000,126,2,998,0.00503256,"2: 945, 1: 115, 3: 66","1: 536, 2: 446, 3: 144","1: 88, 2: 13","1: 448, 2: 433, 3: 144"
article_3,1082,1082,0,7300,990,92,1,990,0.00624123,"2: 838, 3: 172, 1: 72","2: 397, 1: 347, 3: 338","1: 39, 2: 2","2: 395, 3: 338, 1: 308"
article_P1,1021,1021,0,4307,792,229,4,786,0.00413570,"2: 827, 1: 103, 3: 91","3: 368, 1: 363, 2: 290","1: 55, 2: 7, 3: 2","3: 366, 1: 308, 2: 283"
article_5,981,981,0,5216,843,138,4,837,0.00542553,"2: 751, 3: 159, 1: 71","3: 339, 2: 325, 1: 317","1: 76, 2: 13, 3: 4","3: 335, 2: 312, 1: 241"
article_13,948,948,0,3311,756,192,2,754,0.00368808,"2: 725, 3: 155, 1: 68","1: 380, 3: 317, 2: 251","1: 70, 2: 13","3: 317, 1: 310, 2: 238"
article_10,603,603,0,3774,497,106,2,495,0.01039652,"2: 483, 1: 78, 3: 42","1: 291, 2: 220, 3: 92","1: 56, 2: 14","1: 235, 2: 206, 3: 92"
article_29,557,557,0,238,250,307,41,111,0.00076851,"2: 549, 1: 8","3: 201, 2: 196, 1: 160",,"3: 201, 2: 196, 1: 160"
article_34,531,531,0,1810,462,69,7,449,0.00643144,"2: 448, 1: 72, 3: 11","1: 266, 2: 220, 3: 45","1: 41, 2: 5, 3: 1","1: 225, 2: 215, 3: 44"
article_14,528,528,0,2356,414,114,3,409,0.00846702,"2: 444, 1: 82, 3: 2","1: 344, 2: 155, 3: 29","1: 76, 2: 10, 3: 1","1: 268, 2: 145, 3: 28"
article_2,427,427,0,3628,399,28,2,397,0.01994481,"2: 355, 1: 48, 3: 24","1: 187, 2: 161, 3: 79","1: 12, 2: 5","1: 175, 2: 156, 3: 79"
article_37,229,229,0,160,89,140,6,76,0.00306443,"2: 194, 1: 32, 3: 3","3: 103, 1: 80, 2: 46",3: 1,"3: 102, 1: 80, 2: 46"
article_11,213,213,0,738,187,26,2,184,0.01634334,"2: 151, 3: 39, 1: 23","1: 98, 2: 66, 3: 49",1: 19,"1: 79, 2: 66, 3: 49"
article_46,204,204,0,1091,189,15,2,187,0.02634502,"2: 160, 1: 44","1: 134, 2: 68, 3: 2","1: 12, 3: 1","1: 122, 2: 68, 3: 1"
article_9,125,125,0,408,97,28,1,97,0.02632258,"2: 100, 1: 24, 3: 1","1: 84, 2: 33, 3: 8","1: 17, 3: 1","1: 67, 2: 33, 3: 7"
article_38,114,114,0,266,57,57,1,57,0.02064897,"2: 102, 1: 11, 3: 1","3: 52, 1: 40, 2: 22",1: 3,"3: 52, 1: 37, 2: 22"
article_39,106,106,0,2,4,102,2,2,0.00017969,"2: 101, 1: 4, 3: 1","3: 83, 1: 21, 2: 2","1: 6, 3: 1","3: 82, 1: 15, 2: 2"
