Correlation,Centrality,Ground Truth
0.46583924107322733,degree_centrality,importance
0.39826511331164643,degree_centrality,doctypebranch
0.4577269589687262,in_degree_centrality,importance
0.402380103245899,in_degree_centrality,doctypebranch
0.22374120900614605,out_degree_centrality,importance
0.22143821835981703,out_degree_centrality,doctypebranch
0.39114085703639273,betweenness_centrality,importance
0.3220146309797416,betweenness_centrality,doctypebranch
0.4469153650086533,closeness_centrality,importance
0.3940043021457859,closeness_centrality,doctypebranch
0.41595669883378544,core_number,importance
0.3751005743668681,core_number,doctypebranch
0.44900777295408595,relative_in_degree_centrality,importance
0.40549643244543254,relative_in_degree_centrality,doctypebranch
0.4566120777214642,eigenvector_centrality,importance
0.4129188027999029,eigenvector_centrality,doctypebranch
0.4536328647227141,pagerank,importance
0.39556453636819366,pagerank,doctypebranch
0.20362612664617277,hits_hub,importance
0.11905776309833242,hits_hub,doctypebranch
0.42482924199006017,hits_authority,importance
0.3630553061998618,hits_authority,doctypebranch
0.4466264883031027,harmonic_centrality,importance
0.3928780069456613,harmonic_centrality,doctypebranch
0.39459542992689384,disruption,importance
0.37498982377967216,disruption,doctypebranch
0.4765692955659718,composite_ranking_importance_weight_composite_ranking,importance
0.41450326919790503,composite_ranking_importance_weight_composite_ranking,doctypebranch
0.4675846128889741,composite_ranking_importance_threshold_composite_ranking,importance
0.39916552051608895,composite_ranking_importance_threshold_composite_ranking,doctypebranch
0.4741019889585904,composite_ranking_doctypebranch_weight_composite_ranking,importance
0.4190688070648726,composite_ranking_doctypebranch_weight_composite_ranking,doctypebranch
0.4566120777214642,composite_ranking_doctypebranch_threshold_composite_ranking,importance
0.4129188027999029,composite_ranking_doctypebranch_threshold_composite_ranking,doctypebranch
