Network,Initial Nodes,Valid Nodes,Removed Nodes,Total Edges,Connected Nodes,Non-Connected Nodes,Connected Components,Biggest Component Size,Density,Doctypebranch Distribution,Importance Distribution,Importance Pre-1998,Importance Post-1998
article_6,14811,14811,0,68812,11859,2952,6,11847,0.00031371,"2: 11282, 3: 3326, 1: 203","3: 11602, 2: 2359, 1: 850","1: 192, 2: 169, 3: 152","3: 11450, 2: 2190, 1: 658"
article_41,10100,10100,0,75751,9058,1042,13,9030,0.00074266,"2: 9721, 1: 303, 3: 76","2: 4318, 3: 4271, 1: 1511","1: 258, 2: 150, 3: 86","3: 4185, 2: 4168, 1: 1253"
article_P1,4746,4746,0,20308,3470,1276,8,3450,0.00090179,"2: 3704, 3: 937, 1: 105","3: 3588, 2: 795, 1: 363","1: 55, 2: 18, 3: 12","3: 3576, 2: 777, 1: 308"
article_3,4606,4606,0,40917,4191,415,2,4189,0.00192908,"2: 2986, 3: 1547, 1: 73","3: 3144, 2: 1115, 1: 347","1: 39, 3: 10, 2: 9","3: 3134, 2: 1106, 1: 308"
article_5,4302,4302,0,33171,3854,448,4,3848,0.00179275,"2: 2763, 3: 1467, 1: 72","3: 3080, 2: 905, 1: 317","1: 76, 2: 30, 3: 17","3: 3063, 2: 875, 1: 241"
article_13,3990,3990,0,16112,3313,677,3,3309,0.00101231,"2: 2527, 3: 1394, 1: 69","3: 2917, 2: 693, 1: 380","1: 70, 2: 32, 3: 9","3: 2908, 2: 661, 1: 310"
article_35,3632,3632,0,22283,3384,248,7,3363,0.00168967,"2: 3436, 1: 180, 3: 16","2: 2235, 3: 718, 1: 679","1: 78, 2: 47, 3: 13","2: 2188, 3: 705, 1: 601"
article_8,3046,3046,0,20696,2657,389,2,2655,0.00223136,"2: 2380, 3: 547, 1: 119","3: 1370, 2: 1140, 1: 536","1: 88, 2: 31, 3: 12","3: 1358, 2: 1109, 1: 448"
article_29,2521,2521,0,2889,1717,804,70,1496,0.00045475,"2: 2513, 1: 8","3: 1840, 2: 521, 1: 160",,"3: 1840, 2: 521, 1: 160"
article_10,1691,1691,0,14335,1447,244,2,1445,0.00501611,"2: 1279, 3: 332, 1: 80","3: 768, 2: 632, 1: 291","1: 56, 2: 21, 3: 4","3: 764, 2: 611, 1: 235"
article_2,1388,1388,0,14946,1250,138,3,1237,0.00776353,"2: 1131, 3: 208, 1: 49","3: 759, 2: 442, 1: 187","1: 12, 2: 7, 3: 2","3: 757, 2: 435, 1: 175"
article_37,1254,1254,0,572,277,977,12,244,0.00036404,"2: 1164, 3: 50, 1: 40","3: 1048, 2: 126, 1: 80","3: 4, 2: 1","3: 1044, 2: 125, 1: 80"
article_34,1181,1181,0,4819,1050,131,7,1037,0.00345800,"2: 1010, 3: 97, 1: 74","2: 550, 3: 365, 1: 266","1: 41, 2: 10, 3: 5","2: 540, 3: 360, 1: 225"
article_14,1030,1030,0,4727,793,237,7,778,0.00445998,"2: 903, 1: 85, 3: 42","2: 388, 1: 344, 3: 298","1: 76, 2: 22, 3: 4","2: 366, 3: 294, 1: 268"
article_11,854,854,0,4740,773,81,3,768,0.00650686,"3: 441, 2: 389, 1: 24","3: 561, 2: 195, 1: 98","1: 19, 2: 2","3: 561, 2: 193, 1: 79"
article_39,852,852,0,21,14,838,5,5,0.00002896,"2: 843, 1: 7, 3: 2","3: 824, 1: 21, 2: 7","3: 8, 1: 6","3: 816, 1: 15, 2: 7"
article_38,594,594,0,562,108,486,1,108,0.00159549,"2: 578, 1: 11, 3: 5","3: 501, 2: 53, 1: 40","1: 3, 3: 1","3: 500, 2: 53, 1: 37"
article_P7,380,380,0,923,343,37,3,339,0.00640883,"3: 218, 2: 151, 1: 11","3: 262, 2: 82, 1: 36","1: 2, 3: 1, 2: 1","3: 261, 2: 81, 1: 34"
article_46,368,368,0,1996,346,22,2,344,0.01477905,"2: 323, 1: 44, 3: 1","2: 219, 1: 134, 3: 15","1: 12, 3: 5","2: 219, 1: 122, 3: 10"
article_9,243,243,0,1035,197,46,1,197,0.01760024,"2: 195, 1: 26, 3: 22","2: 99, 1: 84, 3: 60","1: 17, 2: 3, 3: 1","2: 96, 1: 67, 3: 59"
article_P4,199,199,0,657,173,26,3,169,0.01667428,"2: 142, 3: 44, 1: 13","3: 94, 2: 59, 1: 46","1: 6, 2: 1","3: 94, 2: 58, 1: 40"
article_7,170,170,0,733,141,29,2,139,0.02551340,"2: 140, 1: 24, 3: 6","2: 69, 1: 55, 3: 46","1: 10, 2: 3","2: 66, 3: 46, 1: 45"
