Correlation,Centrality,Ground Truth
0.7010540092608406,degree_centrality,importance
0.6271859869757852,degree_centrality,doctypebranch
0.6921499315350657,in_degree_centrality,importance
0.6998815047024971,in_degree_centrality,doctypebranch
0.4338665702076776,out_degree_centrality,importance
0.33205038247003404,out_degree_centrality,doctypebranch
0.5996033508279597,betweenness_centrality,importance
0.5770892353670137,betweenness_centrality,doctypebranch
0.6591553044783275,closeness_centrality,importance
0.6801410733554657,closeness_centrality,doctypebranch
0.6952024376724658,core_number,importance
0.6137130312803171,core_number,doctypebranch
0.6821136496844702,relative_in_degree_centrality,importance
0.6835441215098725,relative_in_degree_centrality,doctypebranch
0.6610552799693691,eigenvector_centrality,importance
0.6812352931176455,eigenvector_centrality,doctypebranch
0.6832710904124598,pagerank,importance
0.6984279177822215,pagerank,doctypebranch
0.280430194773359,hits_hub,importance
0.21403175070267713,hits_hub,doctypebranch
0.6451362187431219,hits_authority,importance
0.6516188041296994,hits_authority,doctypebranch
0.665522856758323,harmonic_centrality,importance
0.6849485527658119,harmonic_centrality,doctypebranch
0.421024926345066,disruption,importance
0.4674153713671374,disruption,doctypebranch
0.7011183026851429,composite_ranking_importance_weight_composite_ranking,importance
0.6255901079105484,composite_ranking_importance_weight_composite_ranking,doctypebranch
0.7044957219781924,composite_ranking_importance_threshold_composite_ranking,importance
0.6277903987149146,composite_ranking_importance_threshold_composite_ranking,doctypebranch
0.7006630734642288,composite_ranking_doctypebranch_weight_composite_ranking,importance
0.6263152786004929,composite_ranking_doctypebranch_weight_composite_ranking,doctypebranch
0.7034756998996515,composite_ranking_doctypebranch_threshold_composite_ranking,importance
0.627881827950798,composite_ranking_doctypebranch_threshold_composite_ranking,doctypebranch
