Correlation,Centrality,Ground Truth
0.48694732750774866,degree_centrality,importance
0.22280827060749636,degree_centrality,doctypebranch
0.4679828785479009,in_degree_centrality,importance
0.44622468728776826,in_degree_centrality,doctypebranch
0.34951327354426925,out_degree_centrality,importance
0.06284160257631166,out_degree_centrality,doctypebranch
0.44339930223652174,betweenness_centrality,importance
0.36367875534463373,betweenness_centrality,doctypebranch
0.4432353022944114,closeness_centrality,importance
0.44666854793910943,closeness_centrality,doctypebranch
0.4781396535658057,core_number,importance
0.2052618032711359,core_number,doctypebranch
0.4679828785479009,relative_in_degree_centrality,importance
0.44622468728776826,relative_in_degree_centrality,doctypebranch
0.4429893305907883,eigenvector_centrality,importance
0.44640037931110016,eigenvector_centrality,doctypebranch
0.455104995268464,pagerank,importance
0.44108506069857956,pagerank,doctypebranch
0.1969084863959866,hits_hub,importance
0.012481637798091926,hits_hub,doctypebranch
0.41758009471359164,hits_authority,importance
0.4162155642370439,hits_authority,doctypebranch
0.4477149363038933,harmonic_centrality,importance
0.4479563907099014,harmonic_centrality,doctypebranch
0.2700893739848149,disruption,importance
0.3701325327400799,disruption,doctypebranch
0.48624578852808703,composite_ranking_importance_weight_composite_ranking,importance
0.22072210114485533,composite_ranking_importance_weight_composite_ranking,doctypebranch
0.4872787263148781,composite_ranking_importance_threshold_composite_ranking,importance
0.22264104746842903,composite_ranking_importance_threshold_composite_ranking,doctypebranch
0.48623014878809895,composite_ranking_doctypebranch_weight_composite_ranking,importance
0.22072523987180553,composite_ranking_doctypebranch_weight_composite_ranking,doctypebranch
0.4872787263148781,composite_ranking_doctypebranch_threshold_composite_ranking,importance
0.22264104746842903,composite_ranking_doctypebranch_threshold_composite_ranking,doctypebranch
