Correlation,Centrality,Ground Truth
-0.004247550844456391,degree_centrality,importance
0.02430175318428371,degree_centrality,doctypebranch
0.15458033469083962,in_degree_centrality,importance
0.16327664668902236,in_degree_centrality,doctypebranch
-0.13452063522376528,out_degree_centrality,importance
-0.10492605758785956,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.15458033469083962,closeness_centrality,importance
0.16327664668902236,closeness_centrality,doctypebranch
-0.00611062437732887,core_number,importance
0.02255036954975822,core_number,doctypebranch
0.15458033469083962,relative_in_degree_centrality,importance
0.16327664668902236,relative_in_degree_centrality,doctypebranch
0.15458033469083962,eigenvector_centrality,importance
0.16327664668902236,eigenvector_centrality,doctypebranch
0.15458033469083962,pagerank,importance
0.16327664668902236,pagerank,doctypebranch
-0.0448377329435119,hits_hub,importance
-0.03497341906774496,hits_hub,doctypebranch
-0.10778844498838523,hits_authority,importance
-0.05520532464635006,hits_authority,doctypebranch
0.15458033469083962,harmonic_centrality,importance
0.16327664668902236,harmonic_centrality,doctypebranch
0.15458457575246687,disruption,importance
0.16328112634241604,disruption,doctypebranch
0.15458033469083962,composite,importance
0.16327664668902236,composite,doctypebranch
