Correlation,Centrality,Ground Truth
0.31850883846291134,degree_centrality,importance
0.341105552744446,degree_centrality,doctypebranch
0.42233110999129997,in_degree_centrality,importance
0.3700728872230385,in_degree_centrality,doctypebranch
-0.02458246196603715,out_degree_centrality,importance
0.05762071607959493,out_degree_centrality,doctypebranch
0.0518520847113293,betweenness_centrality,importance
0.0506410224134086,betweenness_centrality,doctypebranch
0.41909873003482817,closeness_centrality,importance
0.3631481881411394,closeness_centrality,doctypebranch
0.319210947004862,core_number,importance
0.34191947987510934,core_number,doctypebranch
0.42233110999129997,relative_in_degree_centrality,importance
0.3700728872230385,relative_in_degree_centrality,doctypebranch
0.4149667684476194,eigenvector_centrality,importance
0.3491053016260977,eigenvector_centrality,doctypebranch
0.42059642249926565,pagerank,importance
0.3628361920329164,pagerank,doctypebranch
-0.0554187891181795,hits_hub,importance
0.03844362319798041,hits_hub,doctypebranch
0.32622956432854766,hits_authority,importance
0.28262974468874263,hits_authority,doctypebranch
0.4186075674675312,harmonic_centrality,importance
0.36190568992552574,harmonic_centrality,doctypebranch
0.370776028805794,disruption,importance
0.3101246937883046,disruption,doctypebranch
0.42233110999129997,composite,importance
0.3700728872230385,composite,doctypebranch
