Correlation,Centrality,Ground Truth
0.0921273021680327,degree_centrality,importance
0.08252309102106326,degree_centrality,doctypebranch
0.19526470105269417,in_degree_centrality,importance
0.15322822782935996,in_degree_centrality,doctypebranch
-0.05601152743059651,out_degree_centrality,importance
-0.03445350647084917,out_degree_centrality,doctypebranch
0.038821628376787924,betweenness_centrality,importance
-0.00888310030953551,betweenness_centrality,doctypebranch
0.19576917122337847,closeness_centrality,importance
0.1522069134189186,closeness_centrality,doctypebranch
0.09302374506296389,core_number,importance
0.08525101191960999,core_number,doctypebranch
0.19526470105269417,relative_in_degree_centrality,importance
0.15322822782935996,relative_in_degree_centrality,doctypebranch
0.19625924738099917,eigenvector_centrality,importance
0.15220689847441585,eigenvector_centrality,doctypebranch
0.19594543682553833,pagerank,importance
0.14905206732231607,pagerank,doctypebranch
0.04242104851114751,hits_hub,importance
-0.007446374912611167,hits_hub,doctypebranch
0.01741360616713769,hits_authority,importance
0.022298220296124088,hits_authority,doctypebranch
0.19576917122337847,harmonic_centrality,importance
0.1522069134189186,harmonic_centrality,doctypebranch
0.21290577387828513,disruption,importance
0.15672608217017026,disruption,doctypebranch
0.21326027531315844,composite,importance
0.1539923166383386,composite,doctypebranch
