Correlation,Centrality,Ground Truth
0.14085717194113326,degree_centrality,importance
0.2319262970837013,degree_centrality,doctypebranch
0.3158971084355917,in_degree_centrality,importance
0.3046769267321685,in_degree_centrality,doctypebranch
-0.12182327459342547,out_degree_centrality,importance
0.020150030829904828,out_degree_centrality,doctypebranch
-0.040940246810102034,betweenness_centrality,importance
0.0025482871076373545,betweenness_centrality,doctypebranch
0.31597102594112697,closeness_centrality,importance
0.3047214044193759,closeness_centrality,doctypebranch
0.13899077294913081,core_number,importance
0.23188738656899735,core_number,doctypebranch
0.3158971084355917,relative_in_degree_centrality,importance
0.3046769267321685,relative_in_degree_centrality,doctypebranch
0.31600080100856787,eigenvector_centrality,importance
0.3047381738258224,eigenvector_centrality,doctypebranch
0.3141882923547625,pagerank,importance
0.3036130930507553,pagerank,doctypebranch
-0.14010445821007356,hits_hub,importance
0.018414420314941827,hits_hub,doctypebranch
0.12998085198836576,hits_authority,importance
0.12799127452230752,hits_authority,doctypebranch
0.31597102594112697,harmonic_centrality,importance
0.3047214044193759,harmonic_centrality,doctypebranch
0.32478016226694434,disruption,importance
0.3042828818729057,disruption,doctypebranch
0.31600083562981385,composite,importance
0.3047382072131279,composite,doctypebranch
