Correlation,Centrality,Ground Truth
0.08886997349872328,degree_centrality,importance
0.07394450769587775,degree_centrality,doctypebranch
0.15521465090207837,in_degree_centrality,importance
0.20819982088800798,in_degree_centrality,doctypebranch
-0.07954943519852922,out_degree_centrality,importance
-0.18851215341301977,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.15521465090207837,closeness_centrality,importance
0.20819982088800798,closeness_centrality,doctypebranch
0.09485040136686711,core_number,importance
0.08481946972989421,core_number,doctypebranch
0.15521465090207837,relative_in_degree_centrality,importance
0.20819982088800798,relative_in_degree_centrality,doctypebranch
0.15521465090207837,eigenvector_centrality,importance
0.20819982088800798,eigenvector_centrality,doctypebranch
0.15521465090207837,pagerank,importance
0.20819982088800798,pagerank,doctypebranch
-0.07764596668666206,hits_hub,importance
-0.1884997000915586,hits_hub,doctypebranch
-0.03116250308770803,hits_authority,importance
0.09899337072917412,hits_authority,doctypebranch
0.15521465090207837,harmonic_centrality,importance
0.20819982088800798,harmonic_centrality,doctypebranch
0.15521465090207837,disruption,importance
0.20819982088800798,disruption,doctypebranch
0.15521465090207837,composite,importance
0.20819982088800798,composite,doctypebranch
